===> EVALUATION OF SARSA

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.6
discount = 0.99
lambda = 0.3
final number of steps=61

===> EVALUATION OF Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.6
discount = 0.99
lambda = 0.3
final number of steps=49

===> EVALUATION OF DOUBLE Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.6
discount = 0.99
lambda = 0.3
final number of steps=4309

===> EVALUATION OF QV LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.6
discount = 0.99
lambda = 0.3
final number of steps=43

Run   sarsa   q_learning   double_q_learning   qv_learning
0   4786   5506   5668   5704
1   5602   5522   6246   5722
2   5145   5578   4953   5366
3   5194   5144   4980   4917
4   4657   4225   4869   4835
5   4155   3249   5171   3111
6   1671   1339   4649   1076
7   719   603   3708   574
8   473   389   3596   361
9   348   216   2467   187
10   116   70   2210   68
11   41   37   1902   38
12   44   35   1224   34
13   43   32   1088   30
14   39   29   870   30
15   38   27   647   28
16   35   29   553   27
17   35   27   388   27
18   37   28   342   28
19   39   27   240   28
20   36   28   215   28
21   37   28   130   28
22   35   27   115   28
23   34   28   89   28
24   36   29   68   28
25   35   27   68   28
26   37   29   48   29
27   37   28   37   27
28   38   28   38   28
29   38   28   35   28
30   37   29   33   28
31   38   28   33   28
32   38   28   30   30
33   41   28   28   29
34   37   28   29   28
35   37   28   30   30
36   35   28   28   29
37   37   27   29   29
38   35   28   29   29
39   35   28   29   30
40   39   29   29   29
41   38   29   27   28
42   33   26   28   29
43   38   26   29   29
44   36   26   27   30
45   35   27   28   30
46   35   28   27   29
47   35   27   27   29
48   37   28   28   29
49   37   28   27   28
50   38   28   29   28
51   34   27   29   29
52   35   28   27   31
53   36   27   27   30
54   37   27   27   29
55   36   27   29   29
56   36   27   29   29
57   38   29   28   30
58   35   27   28   30
59   37   28   27   29
60   37   27   28   29
61   38   28   27   29
62   33   28   27   30
63   37   28   27   29
64   34   28   28   29
65   35   28   27   29
66   36   27   29   29
67   34   27   28   28
68   35   28   27   29
69   35   29   26   31
70   34   27   28   30
71   34   28   29   28
72   35   27   29   29
73   36   28   27   28
74   37   26   28   30
75   37   29   27   29
76   34   27   29   30
77   35   28   26   30
78   37   29   29   30
79   37   27   27   29
80   36   27   28   29
81   34   28   28   28
82   35   28   28   30
83   32   27   27   30
84   35   27   27   29
85   35   27   27   29
86   34   28   28   30
87   37   27   26   28
88   37   27   29   30
89   34   27   27   30
90   34   27   28   31
91   35   27   26   28
92   36   27   28   29
93   38   27   28   29
94   34   28   26   29
95   35   29   28   28
96   32   27   26   29
97   35   28   28   31
98   33   27   27   29
99   37   28   28   28
100   35   28   28   29
101   35   26   28   28
102   33   27   28   29
103   32   28   27   29
104   36   27   27   28
105   34   27   28   29
106   33   27   28   29
107   35   28   27   31
108   33   28   28   28
109   36   29   28   29
110   33   27   27   28
111   33   28   28   30
112   34   28   27   29
113   39   29   29   30
114   34   27   29   29
115   34   27   28   29
116   35   27   26   29
117   35   27   27   28
118   36   28   27   31
119   34   28   28   29
120   35   27   28   30
121   33   27   28   30
122   33   27   27   29
123   32   29   28   29
124   33   28   28   29
125   37   27   28   29
126   35   28   28   29
127   33   27   28   30
128   34   28   28   28
129   36   28   28   30
130   32   28   28   28
131   37   28   28   30
132   34   27   28   31
133   35   27   28   29
134   34   29   27   30
135   34   28   28   30
136   37   27   28   30
137   34   27   27   29
138   33   29   28   30
139   34   26   27   28
140   34   29   29   30
141   34   27   27   31
142   35   27   27   29
143   34   27   28   28
144   34   27   27   30
145   32   28   28   29
146   34   28   28   30
147   34   27   27   27
148   36   27   27   28
149   31   27   27   30
150   35   28   29   29
151   34   27   28   29
152   35   28   28   29
153   33   29   28   29
154   33   28   27   29
155   34   27   28   29
156   33   28   27   29
157   36   27   28   29
158   35   28   27   29
159   34   26   27   30
160   34   29   27   31
161   32   28   27   30
162   34   28   28   29
163   36   28   26   28
164   34   27   28   29
165   34   28   26   28
166   35   27   28   31
167   36   27   29   28
168   33   29   28   31
169   36   28   28   29
170   33   28   28   29
171   31   27   27   29
172   34   29   28   29
173   33   28   28   30
174   34   27   27   29
175   33   26   27   31
176   34   27   26   29
177   34   26   27   28
178   35   27   28   30
179   34   27   28   31
180   33   28   28   29
181   35   28   28   30
182   33   27   27   29
183   36   28   27   28
184   35   29   27   30
185   36   27   27   29
186   34   28   26   28
187   33   27   29   28
188   35   27   27   30
189   37   27   27   30
190   35   27   27   29
191   35   27   28   29
192   33   27   27   30
193   33   27   28   30
194   32   26   28   29
195   32   29   27   29
196   32   28   27   29
197   34   27   27   29
198   37   27   29   30
199   31   27   28   30
