===> EVALUATION OF SARSA

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.7
discount = 0.99
lambda = 0.3
final number of steps=33

===> EVALUATION OF Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.7
discount = 0.99
lambda = 0.3
final number of steps=37

===> EVALUATION OF DOUBLE Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.7
discount = 0.99
lambda = 0.3
final number of steps=1735

===> EVALUATION OF QV LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.7
discount = 0.99
lambda = 0.3
final number of steps=49


Run   sarsa   q_learning   double_q_learning   qv_learning
0   4529   5498   5766   5559
1   5181   5355   6247   5869
2   5834   5503   4951   5265
3   5201   5116   4985   4999
4   4587   4154   4933   4820
5   4231   3230   5154   3120
6   1658   1323   4691   1060
7   698   596   3751   551
8   447   382   3597   348
9   299   216   2458   192
10   106   71   2203   67
11   47   37   1898   38
12   52   35   1214   33
13   47   32   1088   30
14   42   28   870   30
15   42   27   649   28
16   46   29   552   27
17   45   27   389   27
18   44   28   345   28
19   43   27   240   28
20   44   28   215   28
21   46   28   131   28
22   44   27   115   29
23   44   28   88   29
24   44   28   68   29
25   46   27   68   30
26   46   29   48   30
27   44   28   37   28
28   44   28   38   31
29   43   28   35   32
30   45   29   33   31
31   42   28   33   31
32   43   28   30   33
33   42   28   28   31
34   43   28   29   30
35   44   29   30   31
36   44   29   28   31
37   44   27   28   32
38   44   28   29   32
39   46   28   29   31
40   39   29   29   29
41   42   29   27   32
42   43   26   28   31
43   47   26   29   32
44   41   27   27   31
45   43   27   28   30
46   41   28   27   31
47   45   27   27   29
48   45   28   28   31
49   43   28   27   30
50   41   28   28   30
51   45   27   29   29
52   42   27   27   30
53   43   28   27   30
54   42   27   27   31
55   44   27   29   30
56   44   27   29   30
57   41   29   28   32
58   41   27   28   30
59   44   28   27   31
60   44   27   28   32
61   41   28   27   30
62   41   28   27   32
63   42   28   27   29
64   39   28   28   31
65   42   28   27   30
66   42   27   29   33
67   38   27   28   30
68   38   27   27   31
69   41   28   26   30
70   39   27   28   29
71   42   28   29   30
72   37   26   29   30
73   40   28   27   29
74   44   26   28   31
75   42   29   27   30
76   42   28   29   30
77   40   28   26   31
78   42   29   29   30
79   39   28   27   30
80   44   27   28   31
81   42   28   28   32
82   43   28   28   32
83   40   27   27   29
84   41   27   27   28
85   43   27   27   31
86   40   28   28   31
87   40   27   26   31
88   40   27   29   33
89   37   27   27   32
90   39   27   28   32
91   41   27   26   31
92   38   27   28   31
93   38   27   28   31
94   43   28   26   31
95   40   29   28   30
96   41   27   26   31
97   41   28   28   29
98   38   28   27   30
99   42   28   28   31
100   42   28   28   30
101   43   26   28   29
102   41   27   28   29
103   38   28   27   31
104   39   27   28   30
105   40   27   28   31
106   39   28   28   30
107   40   28   27   29
108   38   28   28   30
109   40   28   28   32
110   38   28   27   30
111   41   28   28   29
112   39   29   27   32
113   39   29   29   31
114   38   27   29   30
115   41   26   28   30
116   42   27   26   30
117   40   27   27   30
118   42   28   27   31
119   40   28   28   30
120   37   27   28   30
121   39   27   28   31
122   41   27   27   30
123   37   29   28   31
124   38   28   28   30
125   39   27   28   32
126   39   28   28   31
127   41   27   28   29
128   39   28   28   31
129   36   28   28   29
130   36   28   28   30
131   38   28   28   31
132   40   27   28   32
133   41   27   28   32
134   37   29   27   30
135   39   28   28   30
136   35   27   28   30
137   39   27   27   30
138   39   29   28   33
139   38   27   27   30
140   39   29   29   30
141   41   27   27   30
142   38   27   27   31
143   40   27   28   30
144   39   27   27   30
145   42   28   28   30
146   39   28   28   30
147   41   27   27   32
148   40   27   27   31
149   41   28   27   31
150   42   28   29   30
151   40   27   28   29
152   40   27   28   30
153   41   29   28   30
154   38   28   28   30
155   39   27   28   31
156   39   28   27   31
157   38   27   28   30
158   38   28   27   32
159   40   26   27   31
160   39   28   27   31
161   37   28   27   30
162   38   28   28   30
163   39   28   27   31
164   40   27   28   32
165   39   28   26   29
166   38   28   28   32
167   40   27   29   30
168   39   29   28   30
169   38   28   28   31
170   39   28   28   31
171   39   27   27   31
172   40   28   28   31
173   40   28   28   29
174   38   27   27   30
175   37   26   27   30
176   41   27   27   31
177   40   26   27   30
178   38   27   28   31
179   38   27   28   31
180   40   27   28   30
181   40   28   28   31
182   38   27   27   30
183   37   28   27   30
184   38   29   27   31
185   41   27   27   29
186   40   28   26   29
187   37   27   29   31
188   39   27   27   31
189   38   28   27   31
190   38   27   27   30
191   36   27   28   31
192   36   27   27   29
193   38   27   28   30
194   37   27   28   31
195   39   29   27   29
196   37   28   27   31
197   38   27   27   31
198   37   27   29   30
199   37   27   27   31
