===> EVALUATION OF SARSA

Evaluation of the learnt policy with exploration rate of epsilon0.5
learning 0.8
discount 0.99
lambda 0.3
final number of steps=23

===> EVALUATION OF Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon0.5
learning 0.8
discount 0.99
lambda 0.3
final number of steps=37

===> EVALUATION OF DOUBLE Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon0.5
learning 0.8
discount 0.99
lambda 0.3
final number of steps=5311

===> EVALUATION OF QV LEARNING

Evaluation of the learnt policy with exploration rate of epsilon0.5
learning 0.8
discount 0.99
lambda 0.3
final number of steps=29

Run   sarsa   q_learning   double_q_learning   qv_learning
0   5369   5538   5617   5845
1   5822   5230   6129   5522
2   5552   5503   4897   5375
3   4713   4859   5146   5131
4   4954   4300   4745   4816
5   4546   3230   5183   3086
6   1495   1317   4735   1204
7   650   591   3971   579
8   453   373   3457   366
9   271   224   2591   186
10   107   68   2266   83
11   57   37   1821   37
12   60   35   1300   38
13   59   32   1091   32
14   51   29   873   29
15   54   28   675   29
16   60   29   552   28
17   55   27   388   29
18   55   28   368   30
19   57   27   245   30
20   57   28   205   31
21   58   28   132   31
22   62   28   117   31
23   58   28   103   32
24   54   29   76   32
25   55   27   71   33
26   52   29   49   32
27   63   28   36   32
28   56   28   43   33
29   60   29   34   33
30   57   29   33   34
31   57   28   34   33
32   54   28   30   33
33   54   28   29   34
34   53   28   29   32
35   59   28   30   33
36   56   28   28   34
37   53   27   28   34
38   53   28   29   35
39   52   28   29   32
40   58   29   29   32
41   55   28   28   36
42   56   27   28   33
43   57   27   29   33
44   54   27   27   35
45   48   27   28   32
46   51   27   28   32
47   51   27   27   31
48   51   27   28   32
49   52   28   28   32
50   53   28   28   33
51   53   27   29   32
52   55   27   27   34
53   49   27   27   35
54   51   27   27   34
55   52   27   29   34
56   54   27   29   34
57   52   29   28   32
58   50   28   28   32
59   48   28   27   33
60   48   27   28   33
61   51   28   27   33
62   48   28   27   32
63   53   29   27   31
64   49   28   28   31
65   50   28   27   34
66   53   27   28   33
67   48   26   28   34
68   51   27   28   32
69   53   28   27   33
70   49   27   28   31
71   48   28   29   33
72   50   27   29   32
73   53   28   27   33
74   56   27   27   33
75   52   30   26   33
76   49   28   29   33
77   44   28   26   32
78   50   29   29   32
79   45   28   27   34
80   47   27   28   33
81   53   28   28   34
82   52   28   28   33
83   51   27   27   31
84   50   27   27   34
85   50   28   27   30
86   48   28   28   32
87   49   27   26   34
88   50   27   29   32
89   47   27   27   33
90   47   27   28   34
91   47   28   26   33
92   48   27   29   33
93   50   27   27   33
94   45   28   26   32
95   47   29   27   33
96   47   27   27   32
97   46   28   28   32
98   46   27   27   33
99   50   28   28   33
100   50   28   28   33
101   49   27   28   32
102   55   27   27   32
103   48   28   27   31
104   49   28   28   31
105   50   27   28   31
106   44   28   27   33
107   49   28   27   32
108   49   28   28   34
109   45   29   28   35
110   50   28   27   31
111   45   28   28   32
112   45   28   27   32
113   48   28   29   33
114   45   26   29   31
115   44   26   28   33
116   46   27   27   31
117   46   27   27   31
118   48   28   28   31
119   54   28   27   32
120   51   27   28   33
121   51   27   28   31
122   48   27   27   32
123   47   29   28   35
124   46   28   28   33
125   47   27   27   33
126   47   28   28   32
127   47   27   27   33
128   49   27   28   33
129   45   28   28   33
130   47   29   28   33
131   45   28   28   32
132   53   28   28   32
133   51   27   28   32
134   49   29   27   34
135   48   28   28   33
136   48   27   28   32
137   49   27   27   32
138   51   28   27   34
139   47   27   27   33
140   46   28   29   32
141   47   27   27   32
142   49   27   27   32
143   47   27   28   33
144   48   27   27   33
145   47   28   28   33
146   47   28   28   34
147   46   28   26   33
148   51   27   27   31
149   44   27   27   32
150   48   28   29   33
151   49   27   27   33
152   52   28   28   31
153   46   29   28   33
154   46   28   28   31
155   47   28   27   32
156   48   27   28   33
157   50   27   28   32
158   45   28   28   32
159   46   26   27   32
160   45   28   27   32
161   44   27   27   34
162   47   28   28   32
163   47   28   27   31
164   51   27   28   32
165   49   28   26   34
166   46   28   28   31
167   52   27   29   32
168   50   29   27   32
169   49   29   28   32
170   43   27   28   32
171   45   27   26   32
172   45   28   27   31
173   49   28   28   32
174   48   27   28   31
175   44   26   28   32
176   50   27   26   30
177   42   25   27   32
178   49   27   28   32
179   46   27   28   32
180   47   28   29   31
181   47   28   28   31
182   47   27   27   32
183   47   28   27   31
184   48   29   27   33
185   42   28   28   32
186   44   28   26   32
187   47   27   29   33
188   47   27   27   32
189   44   28   27   34
190   46   27   27   32
191   46   27   28   33
192   52   27   27   33
193   51   27   28   33
194   48   27   27   31
195   48   29   27   31
196   49   28   27   33
197   47   27   27   33
198   48   27   29   33
199   49   27   28   33

