===> EVALUATION OF SARSA

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.9
discount = 0.99
lambda = 0.3
final number of steps=27

===> EVALUATION OF Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.9
discount = 0.99
lambda = 0.3
final number of steps=25

===> EVALUATION OF DOUBLE Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.9
discount = 0.99
lambda = 0.3
final number of steps=3039

===> EVALUATION OF QV LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.9
discount = 0.99
lambda = 0.3
final number of steps=27



Run   sarsa   q_learning   double_q_learning   qv_learning
0   4633   5622   5627   5711
1   5136   5375   6124   5968
2   5540   5513   4955   4996
3   5174   4781   5064   4486
4   4640   4289   4719   4669
5   4376   3170   5105   2942
6   1620   1359   4703   1168
7   711   599   3898   626
8   438   369   3454   343
9   257   235   2602   194
10   114   68   2260   64
11   72   37   1839   39
12   76   35   1279   35
13   70   32   1078   32
14   71   29   862   32
15   81   27   675   32
16   74   29   549   32
17   84   27   380   34
18   87   28   356   33
19   80   27   234   33
20   75   28   196   34
21   71   27   126   37
22   80   28   114   36
23   80   28   99   38
24   84   29   69   39
25   86   27   71   37
26   79   29   49   39
27   76   28   36   35
28   78   28   43   37
29   79   29   35   36
30   72   28   33   36
31   70   28   34   35
32   72   27   30   37
33   72   28   29   35
34   80   28   29   35
35   77   29   30   35
36   72   27   28   33
37   68   27   28   34
38   74   28   29   36
39   74   28   29   35
40   71   29   29   36
41   72   28   27   36
42   69   27   29   34
43   77   27   29   33
44   80   27   27   35
45   67   27   28   35
46   68   28   28   35
47   67   27   27   36
48   75   28   28   35
49   77   28   27   33
50   73   29   28   36
51   77   27   29   36
52   71   27   27   36
53   67   27   27   35
54   72   27   27   35
55   76   27   29   36
56   71   27   29   36
57   68   29   28   36
58   70   28   28   36
59   72   27   27   35
60   68   27   28   35
61   66   28   27   36
62   70   28   27   37
63   66   28   27   37
64   66   28   28   36
65   71   28   27   37
66   69   27   29   37
67   77   27   28   35
68   84   28   28   36
69   63   28   27   35
70   69   27   27   36
71   61   28   29   35
72   69   27   29   37
73   70   28   27   36
74   64   27   27   33
75   70   30   26   34
76   68   28   29   35
77   74   28   26   37
78   79   28   29   37
79   72   28   27   36
80   64   27   28   35
81   64   29   28   36
82   67   28   28   35
83   69   27   27   37
84   66   27   27   38
85   67   27   27   35
86   62   28   27   34
87   66   27   26   35
88   73   27   29   34
89   69   27   27   34
90   74   27   28   35
91   73   28   26   36
92   76   27   29   36
93   64   27   28   36
94   70   28   26   35
95   61   28   28   38
96   66   27   27   35
97   66   28   28   35
98   68   28   27   36
99   67   28   28   36
100   63   28   28   36
101   70   27   28   38
102   77   27   27   36
103   70   28   27   36
104   75   28   27   35
105   70   27   28   35
106   66   27   27   34
107   75   28   27   34
108   72   28   28   36
109   69   29   28   36
110   69   28   27   35
111   64   28   28   35
112   70   28   27   35
113   65   28   29   36
114   66   26   29   37
115   64   27   28   38
116   71   27   27   38
117   64   27   28   37
118   69   28   28   34
119   62   28   27   35
120   65   27   27   35
121   61   27   28   37
122   70   28   27   37
123   63   29   28   34
124   65   28   28   34
125   70   27   27   35
126   71   28   28   34
127   68   27   28   36
128   66   27   28   35
129   65   28   28   36
130   67   29   28   35
131   67   28   28   38
132   62   28   28   36
133   73   27   28   34
134   65   28   27   34
135   67   28   28   36
136   60   28   28   34
137   66   27   27   34
138   63   28   27   34
139   72   27   27   36
140   63   28   29   34
141   71   27   27   36
142   68   27   27   35
143   68   28   28   36
144   62   26   28   37
145   71   28   28   35
146   64   28   28   38
147   65   28   26   35
148   64   27   27   34
149   66   27   27   37
150   64   28   29   36
151   69   27   28   35
152   66   28   28   36
153   68   28   28   39
154   66   28   28   38
155   58   28   27   39
156   72   28   28   35
157   61   27   28   37
158   66   28   28   35
159   63   26   27   34
160   69   28   27   35
161   60   28   27   36
162   59   28   28   35
163   70   28   27   35
164   67   27   28   34
165   68   28   26   34
166   64   28   28   38
167   67   27   28   36
168   61   29   28   35
169   72   28   28   34
170   60   27   28   34
171   77   27   27   35
172   68   28   27   35
173   66   28   28   36
174   66   27   27   35
175   68   26   27   35
176   64   27   26   34
177   65   26   27   34
178   69   27   28   34
179   69   27   28   35
180   64   28   29   35
181   70   27   28   36
182   70   27   27   36
183   66   28   27   36
184   59   29   27   35
185   64   27   28   37
186   65   28   26   37
187   67   27   29   37
188   63   27   27   34
189   59   28   27   36
190   67   27   27   36
191   70   27   28   36
192   61   27   26   35
193   64   28   28   34
194   74   27   27   36
195   66   29   27   36
196   68   28   27   37
197   63   27   27   35
198   64   27   29   37
199   66   27   28   36
