===> EVALUATION OF SARSA

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.8
discount = 0.98
lambda = 0.9
final number of steps=29

===> EVALUATION OF Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.8
discount = 0.98
lambda = 0.9
final number of steps=29

===> EVALUATION OF DOUBLE Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.8
discount = 0.98
lambda = 0.9
final number of steps=12983

===> EVALUATION OF QV LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.8
discount = 0.98
lambda = 0.9
final number of steps=27


Run   sarsa   q_learning   double_q_learning   qv_learning
0   5043   5514   5561   6097
1   5493   5260   6361   6081
2   5680   5381   4968   4820
3   4772   4901   5021   4746
4   4769   4267   4864   4701
5   4429   3271   5114   3084
6   1611   1311   4823   1176
7   673   600   3664   588
8   438   368   3521   332
9   251   219   2613   186
10   99   69   2181   62
11   57   37   1763   39
12   58   36   1237   33
13   56   32   1040   31
14   46   29   874   30
15   54   27   647   27
16   64   28   576   28
17   51   27   380   29
18   54   28   349   30
19   53   27   238   29
20   59   28   210   30
21   52   27   134   32
22   52   27   115   32
23   56   28   89   32
24   57   28   69   32
25   55   27   68   32
26   54   29   48   34
27   57   28   37   32
28   55   28   38   32
29   50   28   35   33
30   51   29   33   33
31   54   28   32   34
32   53   28   31   32
33   52   28   28   33
34   55   28   29   33
35   51   29   30   32
36   50   28   28   33
37   49   27   29   32
38   50   28   29   32
39   49   28   29   31
40   46   29   29   30
41   46   28   27   32
42   55   26   28   32
43   49   26   28   32
44   49   27   27   33
45   48   27   28   34
46   54   28   27   32
47   48   27   27   32
48   52   28   28   31
49   51   28   27   32
50   46   28   28   33
51   52   27   29   32
52   46   27   27   35
53   46   27   27   34
54   51   27   27   34
55   50   27   28   34
56   48   27   29   31
57   45   29   28   33
58   45   28   28   32
59   52   28   28   33
60   50   27   28   32
61   46   28   27   30
62   49   28   27   31
63   49   29   27   33
64   48   28   28   35
65   50   28   27   33
66   52   27   29   32
67   49   26   28   31
68   48   27   27   31
69   51   29   26   32
70   51   27   28   33
71   48   28   28   33
72   48   27   29   33
73   46   28   27   33
74   47   27   27   33
75   44   30   27   34
76   46   27   29   32
77   51   28   26   32
78   47   29   29   31
79   46   28   27   34
80   44   27   28   33
81   48   28   28   32
82   43   28   28   34
83   45   27   27   33
84   42   27   27   33
85   47   27   27   32
86   46   28   27   33
87   47   27   26   34
88   49   27   29   33
89   50   27   27   33
90   45   27   28   32
91   48   28   26   32
92   50   27   29   31
93   45   27   28   32
94   46   29   26   33
95   40   29   27   32
96   46   27   27   32
97   48   27   28   33
98   45   28   27   33
99   47   28   28   35
100   46   27   28   33
101   45   26   28   33
102   46   27   28   33
103   46   28   27   32
104   51   28   28   31
105   44   27   28   31
106   48   28   27   32
107   45   28   27   31
108   45   28   28   32
109   42   29   28   34
110   44   28   27   34
111   48   28   28   31
112   42   28   27   31
113   50   28   29   33
114   47   26   29   30
115   45   26   28   32
116   48   27   26   31
117   48   27   27   32
118   46   28   27   33
119   45   28   28   32
120   47   27   28   32
121   48   27   28   32
122   46   27   27   31
123   50   29   28   34
124   43   28   28   33
125   45   27   27   33
126   47   28   28   34
127   46   27   28   33
128   47   27   28   35
129   46   28   28   35
130   46   29   28   34
131   45   28   28   34
132   47   28   28   32
133   46   27   28   33
134   47   29   27   33
135   47   28   27   33
136   46   27   28   32
137   48   27   27   35
138   45   28   28   33
139   47   27   27   32
140   42   28   29   33
141   47   27   27   33
142   47   27   27   33
143   47   27   28   32
144   45   27   27   33
145   44   28   28   32
146   50   28   28   33
147   43   28   27   32
148   46   27   27   32
149   47   27   27   32
150   46   28   29   30
151   43   27   28   32
152   46   27   28   33
153   46   29   28   34
154   47   28   28   32
155   43   28   28   31
156   45   27   27   34
157   47   27   28   32
158   49   28   27   32
159   46   27   27   33
160   47   28   27   33
161   45   27   27   31
162   45   28   28   34
163   48   28   26   32
164   44   27   28   31
165   47   28   26   31
166   44   28   28   30
167   44   27   29   31
168   41   29   27   32
169   48   28   28   32
170   46   28   28   32
171   45   27   27   33
172   41   29   27   33
173   43   28   28   33
174   43   27   27   33
175   45   26   27   33
176   45   27   26   33
177   48   26   27   33
178   44   27   28   32
179   44   27   28   35
180   47   28   28   34
181   42   28   28   33
182   46   27   27   33
183   44   28   27   31
184   44   29   26   32
185   45   27   28   32
186   46   28   26   32
187   45   27   29   33
188   49   27   27   33
189   45   28   27   32
190   50   27   27   33
191   45   27   29   33
192   45   27   27   32
193   43   27   28   34
194   44   27   27   34
195   46   29   27   32
196   45   28   27   31
197   45   27   27   32
198   43   27   29   33
199   43   27   27   33
