epsilon = 0.5
learning_rate = 0.3
discount_rate = 0.99
lambda = 0.5
c = 20
T = 0.01
SARSA   Q_learning   double_Q_learning   QV_learning
   124   230   411   331
   64   173   181   141
   284   74   193   64
   215   39   39   96
   140   59   96   63
   128   56   214   13
   87   75   59   43
   185   47   74   71
   284   27   111   28
   61   17   189   21
   443   23   19   24
   182   177   43   23
   45   91   100   36
   105   175   145   62
   29   37   142   35
   94   13   143   45
   102   23   56   26
   69   13   89   22
   26   96   23   31
   42   28   153   26
   29   41   214   35
   63   22   99   19
   21   30   109   14
   18   60   45   24
   32   20   24   42
   35   23   16   18
   17   50   15   24
   23   29   47   19
   37   21   49   41
   82   34   15   20
   41   19   39   25
   29   47   38   115
   14   24   25   27
   15   19   30   21
   30   18   24   30
   43   42   29   26
   15   9   26   57
   37   29   24   38
   13   39   36   21
   12   13   11   17
   51   11   19   44
   32   38   37   15
   27   23   33   19
   27   19   25   21
   34   33   19   21
   37   16   19   17
   33   28   36   31
   17   15   29   27
   19   26   15   20
   19   30   15   18
   29   46   131   52
   25   18   58   22
   14   51   30   30
   37   26   17   16
   33   18   21   20
   71   24   17   79
   23   28   16   17
   36   23   36   33
   30   17   22   21
   25   28   12   19
   11   17   27   33
   36   22   19   24
   31   24   20   39
   38   15   59   52
   13   26   25   20
   28   19   38   25
   25   27   21   18
   14   35   13   22
   40   56   21   40
   46   23   11   31
   17   20   55   29
   11   22   49   29
   43   24   19   26
   37   13   29   79
   35   22   33   13
   28   23   16   41
   17   33   24   15
   14   24   18   38
   13   16   10   27
   21   17   33   21
   16   17   15   24
   33   24   26   26
   26   37   38   30
   11   22   32   15
   41   22   21   32
   11   11   27   36
   40   15   27   18
   35   18   33   17
   39   43   27   32
   13   24   25   20
   12   29   20   48
   29   26   22   23
   32   19   35   15
   11   14   23   16
   41   19   27   13
   44   26   21   42
   45   12   25   18
   40   23   27   25
   39   33   15   15
   20   19   24   84
   15   19   34   14
   29   34   52   23
   22   46   15   30
   73   14   27   30
   31   9   23   30
   29   20   15   35
   14   22   39   17
   14   27   52   43
   23   16   21   34
   21   48   25   17
   20   23   15   12
   52   31   20   19
   22   23   12   27
   16   32   16   25
   16   16   32   12
   32   29   13   36
   34   27   36   15
   23   24   17   15
   19   14   35   27
   21   26   26   13
   17   16   22   36
   23   37   24   29
   12   38   43   15
   54   17   19   26
   32   40   12   13
   78   39   21   32
   21   25   17   16
   27   11   17   51
   21   27   12   15
   47   47   21   19
   16   52   25   19
   33   19   38   19
   12   43   28   35
   33   17   30   15
   29   24   27   32
   21   19   21   15
   51   29   25   49
   19   22   37   26
   22   36   27   15
   14   45   21   17
   33   34   14   19
   41   35   10   35
   26   16   29   53
   21   29   16   27
   10   29   38   17
   15   17   26   42
   76   48   50   34
   36   25   31   16
   13   20   30   17
   44   18   27   24
   51   31   22   17
   30   26   20   44
   28   26   25   15
   31   21   37   20
   41   9   21   25
   29   10   42   18
   9   24   41   36
   22   21   54   22
   15   23   15   35
   14   24   31   27
   87   31   13   28
   21   31   23   36
   14   29   54   53
   27   48   28   43
   27   12   15   81
   36   11   23   11
   23   23   21   13
   28   32   14   33
   13   31   29   39
   32   23   24   20
   15   19   15   39
   34   16   33   48
   20   13   62   16
   40   20   46   23
   37   20   18   20
   46   12   28   26
   13   24   31   15
   28   21   52   20
   51   19   34   18
   16   32   39   42
   13   37   43   20
   14   28   30   50
   47   31   18   35
   13   26   19   25
   44   18   29   13
   15   21   17   18
   14   42   10   21
   17   25   17   40
   13   32   26   30
   37   17   23   33
   11   27   23   11
   33   26   19   24
   22   52   23   30
   17   17   18   15
   26   28   40   18
   12   21   14   17
   21   22   18   34
   12   42   17   30
   13   14   26   21
   15   33   20   26
   33   21   37   19
   38   27   19   21
   37   26   12   16
   69   19   21   11
   31   14   26   19
   15   19   36   11
   29   14   39   20
   35   9   26   28
   71   50   23   14
   29   14   43   48
   19   19   16   19
   45   21   26   16
   28   40   70   17
   34   26   13   11
   11   27   23   23
   13   18   21   24
   29   44   31   17
   46   21   22   17
   39   45   18   14
   57   17   27   27
   38   20   32   14
   18   28   14   27
   36   17   33   17
   15   27   18   32
   55   56   11   23
   37   26   11   15
   25   53   23   36
   20   18   16   20
   61   17   26   29
   53   21   16   16
   20   16   23   15
   44   27   27   11
   46   17   15   9
   13   31   57   40
   68   17   41   22
   13   20   37   10
   15   24   19   16
   41   26   22   22
   38   19   15   15
   42   12   11   21
   19   57   17   16
   20   23   21   18
   19   19   43   20
   35   24   15   22
   77   25   11   13
   15   24   15   20
   43   27   23   32
   24   21   25   21
   24   35   15   14
   33   22   24   26
   51   24   27   13
   36   29   21   30
   58   18   56   63
   77   12   42   12
   19   20   11   12
   33   40   17   21
   35   33   29   29
   33   25   38   44
   11   26   27   14
   31   46   17   25
   38   55   22   19
   40   17   10   24
   15   16   29   30
   18   49   43   68
   37   14   16   19
   29   11   26   35
   25   17   17   43
   19   15   11   39
   54   20   16   23
   29   36   68   15
   15   12   23   16
   79   43   36   23
   36   43   15   30
   24   39   17   13
   14   13   26   19
   53   41   33   13
   14   18   37   15
   25   17   21   21
   59   24   22   19
   131   17   19   15
   11   25   11   13
   71   35   11   36
   53   14   54   19
   65   14   20   44
   17   17   17   20
   27   17   14   42
   55   14   15   15
   72   34   18   22
   68   27   23   15
   35   18   45   23
   35   11   32   41
   45   33   46   15
   31   37   24   13
   65   23   31   15
   44   31   38   21
   20   25   55   34
   21   27   24   29
   78   12   35   47
   17   20   28   29
   69   20   30   23
   16   15   34   10
   13   22   29   19
   17   44   29   17
   40   15   14   13
   31   18   36   22
   22   17   27   15
   65   23   25   41
   18   38   40   18
   20   29   32   17
   50   28   29   22
   56   20   18   11
   24   62   15   19
   25   19   15   27
   19   22   26   26
   25   15   19   25
   25   20   31   46
   10   19   19   92
   21   12   16   44
   25   67   13   30
   51   20   32   30
   31   23   29   19
   16   29   23   15
   29   35   37   17
   19   21   29   14
   95   38   13   22
   10   36   22   21
   17   19   40   20
   82   44   14   28
   13   13   22   45
   24   25   17   18
   39   16   20   23
   31   19   24   24
   13   17   36   12
   32   38   30   15
   17   26   27   19
   20   30   21   11
   15   17   28   13
   19   21   23   33
   15   11   32   11
