epsilon = 0.3
learning_rate = 0.05
discount_rate = 0.99
lambda = 0.5

T = 0.1
step,SARSA,Q_learning,double_Q_learning,QV_learning,std_SARSA,std_Q,std_double_Q,std_QV
0,33776,219,373,1199,0,0,0,0
1,82330,3006,859,1293,0,0,0,0
2,57858,2330,22,1349,0,0,0,0
3,295902,1251,7518,86,0,0,0,0
4,147,1393,694,1052,0,0,0,0
5,2967,1128,48,74,0,0,0,0
6,3100,183,1267,1296,0,0,0,0
7,554,639,4830,373,0,0,0,0
8,3,1157,113,454,0,0,0,0
9,559,1136,214,107,0,0,0,0
10,1161,465,99,582,0,0,0,0
11,3456,12,344,638,0,0,0,0
12,2,131,138,33,0,0,0,0
13,167,884,1628,5,0,0,0,0
14,134,485,1860,11,0,0,0,0
15,119,30,5,31,0,0,0,0
16,4,737,492,6,0,0,0,0
17,80,1003,824,507,0,0,0,0
18,35,6,209,32,0,0,0,0
19,188,204,7,500,0,0,0,0
20,112,337,1584,15,0,0,0,0
21,130,125,235,181,0,0,0,0
22,13268,644,282,61,0,0,0,0
23,109,50,44,10,0,0,0,0
24,46,50,179,411,0,0,0,0
25,35,544,21,17,0,0,0,0
26,76,814,71,38,0,0,0,0
27,83,354,51,13,0,0,0,0
28,18,74,1003,10,0,0,0,0
29,95,96,310,417,0,0,0,0
30,174,7,280,152,0,0,0,0
31,15,72,450,14,0,0,0,0
32,49,16,1036,35,0,0,0,0
33,130,51,93,129,0,0,0,0
34,198,424,47,62,0,0,0,0
35,18,206,4,465,0,0,0,0
36,39,236,8,82,0,0,0,0
37,741,707,14,203,0,0,0,0
38,71,119,434,15,0,0,0,0
39,115,268,23,33,0,0,0,0
40,298,58,160,18,0,0,0,0
41,356,25,248,127,0,0,0,0
42,110,151,594,290,0,0,0,0
43,65,53,159,8,0,0,0,0
44,29,4,3,9,0,0,0,0
45,89,9,12,23,0,0,0,0
46,58,456,27,15,0,0,0,0
47,116,14,1107,4,0,0,0,0
48,63,187,3,71,0,0,0,0
49,1990,92,689,592,0,0,0,0
50,281,74,1023,8,0,0,0,0
51,27,8,211,5,0,0,0,0
52,107,112,170,39,0,0,0,0
53,69,20,83,10,0,0,0,0
54,924,8,130,17,0,0,0,0
55,60,385,1151,9,0,0,0,0
56,133,9,6,48,0,0,0,0
57,24,8,8,9,0,0,0,0
58,118,11,738,33,0,0,0,0
59,446,264,33,30,0,0,0,0
60,133,25,34,30,0,0,0,0
61,32,364,2,10,0,0,0,0
62,80,70,163,7,0,0,0,0
63,943,2,34,10,0,0,0,0
64,17,18,457,16,0,0,0,0
65,17,305,84,9,0,0,0,0
66,4,10,19,9,0,0,0,0
67,49,8,238,9,0,0,0,0
68,48,4,923,2,0,0,0,0
69,158,16,20,11,0,0,0,0
70,47,13,96,342,0,0,0,0
71,271,230,775,16,0,0,0,0
72,75,13,30,25,0,0,0,0
73,124,200,44,193,0,0,0,0
74,235,83,12,9,0,0,0,0
75,64,44,38,18,0,0,0,0
76,7,317,18,8,0,0,0,0
77,22,49,62,39,0,0,0,0
78,96,7,34,23,0,0,0,0
79,15,40,21,10,0,0,0,0
80,13,532,44,2,0,0,0,0
81,104,23,9,95,0,0,0,0
82,237,42,125,16,0,0,0,0
83,72,65,137,44,0,0,0,0
84,55,25,4,13,0,0,0,0
85,41,92,18,12,0,0,0,0
86,91,23,210,12,0,0,0,0
87,70,562,153,17,0,0,0,0
88,72,11,76,10,0,0,0,0
89,22,43,17,21,0,0,0,0
90,53,44,49,142,0,0,0,0
91,17,77,127,25,0,0,0,0
92,33,469,12,261,0,0,0,0
93,440,12,74,23,0,0,0,0
94,14,4,359,10,0,0,0,0
95,15,17,2,15,0,0,0,0
96,33,31,53,7,0,0,0,0
97,36,3,12,15,0,0,0,0
98,15778,9,4,12,0,0,0,0
99,42,15,12,98,0,0,0,0
100,248,10,42,242,0,0,0,0
101,98,29,15,147,0,0,0,0
102,37,11,79,80,0,0,0,0
103,90692,17,11,16,0,0,0,0
104,156,9,95,37,0,0,0,0
105,952,297,97,7,0,0,0,0
106,21,12,784,12,0,0,0,0
107,10,11,52,73,0,0,0,0
108,8,50,12,15,0,0,0,0
109,29,21,2,33,0,0,0,0
110,6,15,17,34,0,0,0,0
111,52,225,225,10,0,0,0,0
112,10,19,73,14,0,0,0,0
113,60,384,157,10,0,0,0,0
114,245,7,63,52,0,0,0,0
115,1339,103,36,14,0,0,0,0
116,44,22,121,11,0,0,0,0
117,84,32,3,11,0,0,0,0
118,8,18,9,15,0,0,0,0
119,44,105,3,15,0,0,0,0
120,301,7,50,13,0,0,0,0
121,91,18,109,8,0,0,0,0
122,13,229,42,21,0,0,0,0
123,92,11,18,19,0,0,0,0
124,1631,10,62,131,0,0,0,0
125,16,364,28,6,0,0,0,0
126,80,120,72,12,0,0,0,0
127,15,11,54,15,0,0,0,0
128,4297,31,267,171,0,0,0,0
129,489,11,83,13,0,0,0,0
130,3816,99,515,47,0,0,0,0
131,95,191,609,10,0,0,0,0
132,6,29,46,18,0,0,0,0
133,343,10,510,12,0,0,0,0
134,42,10,54,17,0,0,0,0
135,784,10,10,23,0,0,0,0
136,16,331,35,26,0,0,0,0
137,9,40,10,13,0,0,0,0
138,48,176,169,15,0,0,0,0
139,95,12,145,8,0,0,0,0
140,344,429,362,3,0,0,0,0
141,120,9,15,15,0,0,0,0
142,14,31,18,13,0,0,0,0
143,409,18,102,19,0,0,0,0
144,26,27,11,11,0,0,0,0
145,14,41,18,59,0,0,0,0
146,109,130,611,85,0,0,0,0
147,59,55,4,22,0,0,0,0
148,97,7,15,9,0,0,0,0
149,68,33,184,4,0,0,0,0
150,17,11,8,11,0,0,0,0
151,20,16,10,150,0,0,0,0
152,216,31,4,19,0,0,0,0
153,4,5,8,28,0,0,0,0
154,10,14,4,14,0,0,0,0
155,225,316,13,11,0,0,0,0
156,120,237,12,14,0,0,0,0
157,119,13,10,13,0,0,0,0
158,36,31,10,10,0,0,0,0
159,145,42,457,25,0,0,0,0
160,153,34,8,22,0,0,0,0
161,121,280,32,11,0,0,0,0
162,146,34,25,12,0,0,0,0
163,202,12,80,13,0,0,0,0
164,56,149,71,14,0,0,0,0
165,1355,33,126,9,0,0,0,0
166,57,9,18,9,0,0,0,0
167,44,13,10,15,0,0,0,0
168,38,12,233,7,0,0,0,0
169,358,208,142,12,0,0,0,0
170,9,9,4,22,0,0,0,0
171,223,10,85,13,0,0,0,0
172,49,13,102,14,0,0,0,0
173,10,37,33,10,0,0,0,0
174,49,16,7,97,0,0,0,0
175,450,53,11,21,0,0,0,0
176,5,10,9,11,0,0,0,0
177,12,115,150,5,0,0,0,0
178,125,118,13,13,0,0,0,0
179,349,332,10,14,0,0,0,0
180,224,2,40,19,0,0,0,0
181,50,15,7,9,0,0,0,0
182,2,9,20,11,0,0,0,0
183,5,10,24,19,0,0,0,0
184,100,18,257,31,0,0,0,0
185,470,8,770,12,0,0,0,0
186,255,16,402,20,0,0,0,0
187,609,12,23,11,0,0,0,0
188,964,32,10,14,0,0,0,0
189,147,15,16,10,0,0,0,0
190,145,10,8,19,0,0,0,0
191,333,12,117,20,0,0,0,0
192,4353,63,17,18,0,0,0,0
193,2,31,10,14,0,0,0,0
194,2,9,233,19,0,0,0,0
195,11,224,9,19,0,0,0,0
196,131,22,10,21,0,0,0,0
197,334,227,22,19,0,0,0,0
198,11,9,16,17,0,0,0,0
199,1605,16,79,7,0,0,0,0
200,131,31,12,11,0,0,0,0
201,79,9,25,18,0,0,0,0
202,658,19,4,10,0,0,0,0
203,9,16,9,12,0,0,0,0
204,127,15,26,20,0,0,0,0
205,21,42,22,11,0,0,0,0
206,7,19,69,19,0,0,0,0
207,1114,20,9,14,0,0,0,0
208,175,12,13,11,0,0,0,0
209,83,10,23,20,0,0,0,0
210,545,38,25,11,0,0,0,0
211,10,291,13,19,0,0,0,0
212,11,10,473,20,0,0,0,0
213,6,12,13,19,0,0,0,0
214,670,10,6,17,0,0,0,0
215,72,2,19,14,0,0,0,0
216,15,16,13,17,0,0,0,0
217,31,270,39,11,0,0,0,0
218,58,27,36,17,0,0,0,0
219,23,12,33,17,0,0,0,0
220,10,30,46,21,0,0,0,0
221,11,125,8,21,0,0,0,0
222,8,3,7,14,0,0,0,0
223,491,16,342,12,0,0,0,0
224,4,143,13,22,0,0,0,0
225,24,11,70,19,0,0,0,0
226,11,11,18,21,0,0,0,0
227,25,12,29,5,0,0,0,0
228,40,8,358,17,0,0,0,0
229,38,18,7,20,0,0,0,0
230,17,12,12,9,0,0,0,0
231,20,20,10,15,0,0,0,0
232,207,15,20,13,0,0,0,0
233,27,25,4,11,0,0,0,0
