epsilon = 0.3
learning_rate = 0.05
discount_rate = 0.99
lambda = 0.5

T = 0.1
step,SARSA,Q_learning,double_Q_learning,QV_learning,std_SARSA,std_Q,std_double_Q,std_QV
0,113,131,596,675,0,0,0,0
1,127609,3677,5942,4,0,0,0,0
2,8306,1848,3653,1198,0,0,0,0
3,581,1403,334,2,0,0,0,0
4,336,477,2340,1224,0,0,0,0
5,591,1476,191,589,0,0,0,0
6,805,822,1528,29,0,0,0,0
7,188,1141,324,1435,0,0,0,0
8,744,603,40,13,0,0,0,0
9,3613,478,770,75,0,0,0,0
10,610,642,29,75,0,0,0,0
11,12613,376,2699,534,0,0,0,0
12,211,142,883,12,0,0,0,0
13,1981,869,1864,466,0,0,0,0
14,13970,46,1969,474,0,0,0,0
15,1713,6,303,18,0,0,0,0
16,915,628,46,379,0,0,0,0
17,29,312,66,14,0,0,0,0
18,2631,701,23,91,0,0,0,0
19,399,445,785,11,0,0,0,0
20,1786,322,52,662,0,0,0,0
21,96,791,1156,44,0,0,0,0
22,24,288,359,16,0,0,0,0
23,141,19,48,175,0,0,0,0
24,1123,112,701,468,0,0,0,0
25,3288,541,838,125,0,0,0,0
26,371,78,78,198,0,0,0,0
27,9835,55,7,455,0,0,0,0
28,555,637,51,83,0,0,0,0
29,471,184,62,18,0,0,0,0
30,1211,424,48,6,0,0,0,0
31,411,25,104,12,0,0,0,0
32,455,105,105,43,0,0,0,0
33,313,94,65,149,0,0,0,0
34,523,385,10,9,0,0,0,0
35,538,5,1185,7,0,0,0,0
36,440,30,142,124,0,0,0,0
37,829,500,160,217,0,0,0,0
38,705,2,58,11,0,0,0,0
39,309,49,24,10,0,0,0,0
40,302,8,303,11,0,0,0,0
41,433,3,58,33,0,0,0,0
42,881,411,167,218,0,0,0,0
43,667,234,8,25,0,0,0,0
44,183,29,3,13,0,0,0,0
45,2,738,78,7,0,0,0,0
46,132,15,11,123,0,0,0,0
47,9,9,649,403,0,0,0,0
48,222,227,24,13,0,0,0,0
49,556,91,559,12,0,0,0,0
50,3240,48,11,43,0,0,0,0
51,769,9,5,14,0,0,0,0
52,126,547,105,2,0,0,0,0
53,999,6,84,88,0,0,0,0
54,929,10,1223,288,0,0,0,0
55,268,27,329,15,0,0,0,0
56,2944,9,646,10,0,0,0,0
57,304,5,119,42,0,0,0,0
58,342,197,335,436,0,0,0,0
59,602,16,725,19,0,0,0,0
60,3435,9,25,15,0,0,0,0
61,289,8,3,11,0,0,0,0
62,92,28,57,16,0,0,0,0
63,134,20,80,12,0,0,0,0
64,89,636,181,10,0,0,0,0
65,77,15,192,15,0,0,0,0
66,564,9,193,37,0,0,0,0
67,59,139,30,331,0,0,0,0
68,238,450,1422,5,0,0,0,0
69,991,53,98,15,0,0,0,0
70,130,155,37,16,0,0,0,0
71,193,47,410,9,0,0,0,0
72,9,17,5,24,0,0,0,0
73,208,299,1557,10,0,0,0,0
74,494,98,13,119,0,0,0,0
75,1443,8,655,13,0,0,0,0
76,387,11,269,48,0,0,0,0
77,177,313,9,12,0,0,0,0
78,711,10,253,19,0,0,0,0
79,623,11,3,13,0,0,0,0
80,766,66,6,207,0,0,0,0
81,1262,8,35,14,0,0,0,0
82,1560,24,37,17,0,0,0,0
83,1351,37,360,200,0,0,0,0
84,290,10,18,13,0,0,0,0
85,296,170,722,60,0,0,0,0
86,1065,237,53,48,0,0,0,0
87,383,431,10,14,0,0,0,0
88,57,38,7,9,0,0,0,0
89,5184,328,49,10,0,0,0,0
90,2,46,37,20,0,0,0,0
91,1056,10,210,13,0,0,0,0
92,373,32,51,15,0,0,0,0
93,381,281,23,10,0,0,0,0
94,592,10,887,150,0,0,0,0
95,5,9,37,74,0,0,0,0
96,9,18,7,11,0,0,0,0
97,791,209,11,31,0,0,0,0
98,324,13,469,14,0,0,0,0
99,714,11,8,354,0,0,0,0
100,1747,2,9,4,0,0,0,0
101,513,12,167,32,0,0,0,0
102,263,9,90,13,0,0,0,0
103,8,21,7,60,0,0,0,0
104,299,8,606,33,0,0,0,0
105,13301,11,362,23,0,0,0,0
106,59,70,25,32,0,0,0,0
107,2,392,82,323,0,0,0,0
108,163,12,10,13,0,0,0,0
109,55,19,38,13,0,0,0,0
110,72,193,22,10,0,0,0,0
111,68,67,75,13,0,0,0,0
112,7,14,32,15,0,0,0,0
113,469,12,367,12,0,0,0,0
114,44,167,110,14,0,0,0,0
115,20905,25,43,14,0,0,0,0
116,143,84,14,13,0,0,0,0
117,8,9,15,9,0,0,0,0
118,1716,12,9,2,0,0,0,0
119,1193,15,14,27,0,0,0,0
120,26,11,9,14,0,0,0,0
121,202,268,121,14,0,0,0,0
122,3152,125,75,23,0,0,0,0
123,326,159,91,28,0,0,0,0
124,37,60,16,35,0,0,0,0
125,716,205,29,22,0,0,0,0
126,177,8,113,76,0,0,0,0
127,101,12,22,30,0,0,0,0
128,85,14,34,22,0,0,0,0
129,7942,370,43,18,0,0,0,0
130,132,28,148,21,0,0,0,0
131,42,27,252,24,0,0,0,0
132,72,11,45,12,0,0,0,0
133,69,9,2,15,0,0,0,0
134,130,15,15,19,0,0,0,0
135,78,178,218,15,0,0,0,0
136,5,99,310,29,0,0,0,0
137,7,14,32,16,0,0,0,0
138,8,23,247,14,0,0,0,0
139,306,8,36,15,0,0,0,0
140,52,14,190,11,0,0,0,0
141,156,281,6,14,0,0,0,0
142,19,10,414,18,0,0,0,0
143,1127,40,22,11,0,0,0,0
144,474,113,116,2,0,0,0,0
145,509,65,93,16,0,0,0,0
146,670,22,31,15,0,0,0,0
147,9,370,10,14,0,0,0,0
148,4,13,141,9,0,0,0,0
149,131,10,427,15,0,0,0,0
150,411,12,243,12,0,0,0,0
151,93,13,306,11,0,0,0,0
152,229,11,37,10,0,0,0,0
153,247,77,12,8,0,0,0,0
154,1288,10,8,9,0,0,0,0
155,9,8,23,7,0,0,0,0
156,496,38,1382,7,0,0,0,0
157,245,156,18,11,0,0,0,0
158,415,11,40,2,0,0,0,0
159,1071,9,9,10,0,0,0,0
160,7,11,21,13,0,0,0,0
161,98,180,44,11,0,0,0,0
162,2831,178,144,20,0,0,0,0
163,1541,12,64,19,0,0,0,0
164,208,11,8,20,0,0,0,0
165,147,13,9,11,0,0,0,0
166,8,251,16,18,0,0,0,0
167,108,9,71,10,0,0,0,0
168,11111,53,19,16,0,0,0,0
169,17,26,171,12,0,0,0,0
170,5221,43,27,21,0,0,0,0
171,138,386,10,10,0,0,0,0
172,61,76,118,16,0,0,0,0
173,69,10,114,16,0,0,0,0
174,10,8,77,7,0,0,0,0
175,34,12,40,20,0,0,0,0
176,7567,7,10,17,0,0,0,0
177,865,326,15,8,0,0,0,0
178,8,24,12,12,0,0,0,0
179,4146,34,285,18,0,0,0,0
180,15,10,42,16,0,0,0,0
181,4526,13,16,15,0,0,0,0
182,11485,160,35,21,0,0,0,0
183,297,36,222,9,0,0,0,0
184,7,45,1095,26,0,0,0,0
185,11,13,13,11,0,0,0,0
186,981,16,70,14,0,0,0,0
187,269,30,47,23,0,0,0,0
188,385,76,153,97,0,0,0,0
189,7,45,329,14,0,0,0,0
190,574,27,338,11,0,0,0,0
191,18,16,152,15,0,0,0,0
192,527,9,20,18,0,0,0,0
193,704,12,8,13,0,0,0,0
194,8202,11,10,9,0,0,0,0
195,107,30,426,19,0,0,0,0
196,788,230,43,7,0,0,0,0
197,79,14,166,20,0,0,0,0
198,1220,13,15,19,0,0,0,0
199,11,50,10,25,0,0,0,0
200,305,3,338,15,0,0,0,0
201,14,11,152,14,0,0,0,0
202,145,13,10,25,0,0,0,0
203,14,9,13,13,0,0,0,0
204,247,382,74,38,0,0,0,0
205,93,15,14,10,0,0,0,0
206,64,10,159,14,0,0,0,0
207,511,24,12,21,0,0,0,0
208,12,18,45,8,0,0,0,0
209,142,9,11,16,0,0,0,0
210,133,21,46,9,0,0,0,0
211,45,12,8,41,0,0,0,0
212,139,33,15,14,0,0,0,0
213,139,13,14,10,0,0,0,0
214,63,12,29,24,0,0,0,0
215,125,9,385,5,0,0,0,0
216,11,15,61,10,0,0,0,0
217,339,9,17,22,0,0,0,0
218,13,10,74,4,0,0,0,0
219,86,12,31,20,0,0,0,0
220,14,10,53,19,0,0,0,0
221,297,36,66,9,0,0,0,0
222,4,12,104,10,0,0,0,0
223,96,154,9,7,0,0,0,0
224,57,85,562,11,0,0,0,0
225,176,229,24,18,0,0,0,0
226,22,29,96,19,0,0,0,0
227,49,12,12,16,0,0,0,0
228,116,15,4,15,0,0,0,0
229,213,10,16,11,0,0,0,0
230,103,9,28,16,0,0,0,0
231,12,16,19,15,0,0,0,0
232,5,76,12,17,0,0,0,0
233,590,50,11,22,0,0,0,0
234,10,144,3,10,0,0,0,0
235,199,20,10,11,0,0,0,0
236,23,17,14,18,0,0,0,0
237,12,12,12,8,0,0,0,0
238,11,17,9,25,0,0,0,0
239,144,95,7,9,0,0,0,0
240,29,21,11,21,0,0,0,0
241,62,24,15,21,0,0,0,0
242,29,10,50,20,0,0,0,0
243,227,25,11,25,0,0,0,0
244,136,177,13,14,0,0,0,0
245,54,13,12,13,0,0,0,0
246,23,18,65,17,0,0,0,0
247,10,83,8,18,0,0,0,0
248,4,84,8,19,0,0,0,0
249,16,180,27,20,0,0,0,0
250,143,17,16,11,0,0,0,0
251,81,10,16,20,0,0,0,0
252,40,11,6,11,0,0,0,0
253,695,134,67,9,0,0,0,0
254,402,17,54,10,0,0,0,0
255,12,9,1161,21,0,0,0,0
256,27,86,32,8,0,0,0,0
257,25,13,60,19,0,0,0,0
258,54,47,20,6,0,0,0,0
259,74,15,8,11,0,0,0,0
260,120,60,26,14,0,0,0,0
261,11,32,9,10,0,0,0,0
262,57,11,12,18,0,0,0,0
263,34,29,9,10,0,0,0,0
264,25,13,9,18,0,0,0,0
265,289,8,9,8,0,0,0,0
266,23,19,12,11,0,0,0,0
267,52,21,12,8,0,0,0,0
268,25,9,27,14,0,0,0,0
269,31,30,45,16,0,0,0,0
270,36,25,10,12,0,0,0,0
271,8,409,27,7,0,0,0,0
272,58,12,22,17,0,0,0,0
273,79,9,11,16,0,0,0,0
274,29,15,9,21,0,0,0,0
275,86,9,14,20,0,0,0,0
276,143,11,3,19,0,0,0,0
277,65,9,124,8,0,0,0,0
278,194,58,8,10,0,0,0,0
279,1253,9,22,17,0,0,0,0
280,103,12,10,10,0,0,0,0
281,11,20,31,18,0,0,0,0
282,5,14,122,12,0,0,0,0
283,12,162,12,12,0,0,0,0
284,11,11,31,10,0,0,0,0
285,42,19,41,21,0,0,0,0
286,115,12,11,12,0,0,0,0
287,32,9,10,18,0,0,0,0
288,37,16,13,20,0,0,0,0
289,72,5,129,3,0,0,0,0
290,32,12,47,9,0,0,0,0
291,7,12,16,10,0,0,0,0
292,15,8,11,6,0,0,0,0
293,34,12,40,23,0,0,0,0
294,73,25,15,12,0,0,0,0
295,76,6,13,17,0,0,0,0
296,32,22,8,11,0,0,0,0
297,55,12,12,22,0,0,0,0
298,614,14,10,16,0,0,0,0
299,10,8,9,3,0,0,0,0
300,10,11,29,8,0,0,0,0
301,58,12,246,18,0,0,0,0
302,47,24,9,10,0,0,0,0
303,33,9,9,11,0,0,0,0
304,68,16,306,11,0,0,0,0
305,16,57,18,4,0,0,0,0
306,53,8,49,13,0,0,0,0
307,39,13,165,13,0,0,0,0
308,75,19,26,11,0,0,0,0
309,19,58,4,21,0,0,0,0
310,12,17,13,19,0,0,0,0
311,19,9,20,8,0,0,0,0
312,38,12,12,12,0,0,0,0
313,13,9,192,13,0,0,0,0
314,10,10,22,18,0,0,0,0
315,9,2,61,10,0,0,0,0
316,12,16,12,10,0,0,0,0
317,35,29,20,12,0,0,0,0
318,17,54,18,13,0,0,0,0
319,53,110,23,13,0,0,0,0
320,72,9,17,13,0,0,0,0
321,137,13,224,8,0,0,0,0
322,4210,7,10,12,0,0,0,0
323,34,16,18,16,0,0,0,0
324,18,40,30,5,0,0,0,0
325,114,11,28,17,0,0,0,0
326,254,14,72,15,0,0,0,0
327,37,20,11,14,0,0,0,0
328,434,14,10,19,0,0,0,0
329,13,5,21,21,0,0,0,0
330,92,5,3,10,0,0,0,0
331,9,209,14,17,0,0,0,0
332,1297,8,6,17,0,0,0,0
333,69,97,12,15,0,0,0,0
334,89,10,9,10,0,0,0,0
335,33,21,20,17,0,0,0,0
336,16,14,8,10,0,0,0,0
337,15,17,166,12,0,0,0,0
338,49,13,17,13,0,0,0,0
339,3,17,9,11,0,0,0,0
340,87,20,14,17,0,0,0,0
341,14,18,17,20,0,0,0,0
342,33,21,4,21,0,0,0,0
343,13,128,990,4,0,0,0,0
344,29,13,563,12,0,0,0,0
345,7,9,654,10,0,0,0,0
346,30,9,11,22,0,0,0,0
347,13,10,15,10,0,0,0,0
348,47,27,16,11,0,0,0,0
349,118,17,13,10,0,0,0,0
350,23,10,94,10,0,0,0,0
351,31,18,5,18,0,0,0,0
352,31,16,73,15,0,0,0,0
353,19,12,139,18,0,0,0,0
354,14,15,5,14,0,0,0,0
355,10,7,11,9,0,0,0,0
356,85,12,15,21,0,0,0,0
357,13,17,21,11,0,0,0,0
358,29,13,13,21,0,0,0,0
359,55,14,9,17,0,0,0,0
360,15,10,16,10,0,0,0,0
361,39,21,12,14,0,0,0,0
362,211,29,214,11,0,0,0,0
363,46,12,29,8,0,0,0,0
364,33,39,13,12,0,0,0,0
365,9,9,31,18,0,0,0,0
366,408,19,10,17,0,0,0,0
367,2,9,14,22,0,0,0,0
368,19,22,10,11,0,0,0,0
369,29,15,9,11,0,0,0,0
370,533,17,19,11,0,0,0,0
371,17,10,7,19,0,0,0,0
372,69,7,11,13,0,0,0,0
373,8,11,14,17,0,0,0,0
374,35,10,9,21,0,0,0,0
375,22,12,81,21,0,0,0,0
376,117,15,34,11,0,0,0,0
377,11,13,43,12,0,0,0,0
378,25,41,24,12,0,0,0,0
379,28,35,10,15,0,0,0,0
380,31,13,40,14,0,0,0,0
381,57,12,63,10,0,0,0,0
382,12,12,23,4,0,0,0,0
383,12,12,275,14,0,0,0,0
384,13,17,466,19,0,0,0,0
385,753,9,12,16,0,0,0,0
386,1088,18,6,9,0,0,0,0
387,13,13,7,17,0,0,0,0
388,61,16,66,2,0,0,0,0
389,14,60,11,16,0,0,0,0
390,10,8,18,22,0,0,0,0
391,11,13,19,20,0,0,0,0
392,163,3,8,11,0,0,0,0
393,51,18,155,12,0,0,0,0
394,15,11,4,10,0,0,0,0
395,66,18,11,18,0,0,0,0
396,79,129,46,14,0,0,0,0
397,160,12,54,19,0,0,0,0
398,43,10,8,17,0,0,0,0
399,15,21,9,6,0,0,0,0
400,46,20,12,20,0,0,0,0
401,91,17,144,14,0,0,0,0
402,53,9,14,18,0,0,0,0
403,622,13,18,21,0,0,0,0
404,44,16,52,10,0,0,0,0
405,13,28,35,12,0,0,0,0
406,95,13,320,19,0,0,0,0
407,213,11,5,13,0,0,0,0
408,34,10,62,19,0,0,0,0
409,12,14,9,19,0,0,0,0
410,36,12,8,11,0,0,0,0
411,11,22,16,12,0,0,0,0
412,67,11,158,10,0,0,0,0
413,8,12,16,21,0,0,0,0
414,34,69,9,12,0,0,0,0
415,43,15,49,14,0,0,0,0
416,16,21,16,16,0,0,0,0
417,41,11,11,17,0,0,0,0
418,5,3,15,15,0,0,0,0
419,25,18,8,17,0,0,0,0
420,14,180,17,7,0,0,0,0
421,36,16,20,8,0,0,0,0
422,33,9,11,18,0,0,0,0
423,19,17,109,15,0,0,0,0
424,848,37,12,10,0,0,0,0
425,28,16,12,9,0,0,0,0
426,47,14,12,21,0,0,0,0
427,237,17,149,19,0,0,0,0
428,31,29,19,12,0,0,0,0
429,49,7,10,15,0,0,0,0
430,2236,20,9,16,0,0,0,0
431,17,9,8,22,0,0,0,0
432,209,8,16,12,0,0,0,0
433,8,18,55,14,0,0,0,0
434,226,25,45,11,0,0,0,0
435,647,17,10,16,0,0,0,0
436,16,20,8,11,0,0,0,0
437,21,38,37,19,0,0,0,0
438,18,21,14,4,0,0,0,0
439,15,11,24,19,0,0,0,0
440,7,35,12,2,0,0,0,0
441,59,14,2,21,0,0,0,0
442,16,10,8,21,0,0,0,0
443,18,12,18,7,0,0,0,0
444,21,17,8,14,0,0,0,0
445,141,9,8,13,0,0,0,0
446,152,13,52,3,0,0,0,0
447,29,8,8,20,0,0,0,0
448,723,11,31,11,0,0,0,0
449,12,142,12,21,0,0,0,0
450,17,26,16,21,0,0,0,0
451,68,11,8,12,0,0,0,0
452,14,2,11,16,0,0,0,0
453,43,12,12,18,0,0,0,0
454,13,19,11,14,0,0,0,0
455,30,8,14,18,0,0,0,0
456,18,18,29,21,0,0,0,0
457,21,18,29,17,0,0,0,0
458,77,12,13,8,0,0,0,0
459,22,6,11,17,0,0,0,0
460,13,18,153,20,0,0,0,0
461,26,10,28,20,0,0,0,0
462,19,18,23,21,0,0,0,0
463,19,22,12,11,0,0,0,0
464,57,19,23,15,0,0,0,0
465,14,12,19,14,0,0,0,0
466,17,9,9,10,0,0,0,0
467,24,18,11,11,0,0,0,0
468,40,11,44,16,0,0,0,0
469,11,12,153,18,0,0,0,0
470,14,6,11,9,0,0,0,0
471,109,16,10,10,0,0,0,0
472,14,10,17,19,0,0,0,0
473,21,9,15,11,0,0,0,0
474,53,17,14,18,0,0,0,0
475,10,8,7,9,0,0,0,0
476,24,29,26,18,0,0,0,0
477,25,8,14,21,0,0,0,0
478,83,11,12,11,0,0,0,0
479,57,30,17,12,0,0,0,0
480,3,20,17,12,0,0,0,0
481,13,18,19,21,0,0,0,0
482,22,11,37,12,0,0,0,0
483,31,10,13,19,0,0,0,0
484,43,14,12,14,0,0,0,0
485,46,11,20,8,0,0,0,0
486,54,74,27,7,0,0,0,0
487,25,19,44,22,0,0,0,0
488,38,6,45,14,0,0,0,0
489,27,27,14,11,0,0,0,0
490,130,30,12,14,0,0,0,0
491,19,25,101,10,0,0,0,0
492,45,10,8,19,0,0,0,0
493,27,3,34,10,0,0,0,0
494,35,25,56,21,0,0,0,0
495,17,11,18,11,0,0,0,0
496,29,10,15,9,0,0,0,0
497,28,12,22,20,0,0,0,0
498,39,14,18,17,0,0,0,0
499,15,9,11,18,0,0,0,0
500,28,5,22,11,0,0,0,0
501,15,11,93,9,0,0,0,0
502,47,21,10,2,0,0,0,0
503,45,7,9,2,0,0,0,0
504,52,19,133,14,0,0,0,0
505,11,18,43,10,0,0,0,0
506,46,6,16,21,0,0,0,0
507,133,5,10,18,0,0,0,0
508,37,20,4,10,0,0,0,0
509,74,10,11,21,0,0,0,0
510,47,20,12,9,0,0,0,0
511,20,12,10,21,0,0,0,0
512,29,11,15,17,0,0,0,0
513,35,10,16,21,0,0,0,0
514,102,22,8,10,0,0,0,0
515,21,2,19,8,0,0,0,0
516,13,21,7,20,0,0,0,0
517,15,17,14,9,0,0,0,0
518,63,12,20,7,0,0,0,0
519,14,12,15,21,0,0,0,0
520,80,100,11,17,0,0,0,0
521,14,22,267,3,0,0,0,0
522,23,9,60,21,0,0,0,0
523,17,13,14,18,0,0,0,0
524,27,23,6,9,0,0,0,0
525,15,31,10,19,0,0,0,0
526,24,17,11,14,0,0,0,0
527,24,19,27,21,0,0,0,0
528,30,17,19,9,0,0,0,0
529,148,11,18,21,0,0,0,0
530,48,9,13,9,0,0,0,0
531,2,22,11,13,0,0,0,0
532,81,17,10,18,0,0,0,0
533,23,17,7,19,0,0,0,0
