epsilon = 0.3
learning_rate = 0.1
discount_rate = 0.99
lambda = 0.5

T = 0.5
step,SARSA,Q_learning,double_Q_learning,QV_learning,std_SARSA,std_Q,std_double_Q,std_QV
0,1646.37,960.194,1441.41,971.432,1946.65,1003.65,2009.76,859.21
1,2923.69,2221.24,2320.28,1592.59,2305.41,1190.81,2195.29,968.1
2,2178.47,1529.9,2101.34,1074.42,2101.17,1032.31,2199.54,777.873
3,1585.13,1034.93,1481.84,674.818,1657.95,750.247,1642.63,594.569
4,1385.64,868.816,1278.99,542.268,1520.61,678.058,1346.87,485.739
5,1290.09,759.436,1161.39,445.752,1399.63,594.021,1407.12,435.334
6,1141.56,619.032,1174.21,358.994,1231.36,543.082,1392.48,371.441
7,1041.72,557.068,903.806,320.28,1307.1,502.835,1055.95,368.195
8,910.854,449.444,855.446,274.622,1080.3,445.052,1009.13,321.267
9,957.004,455.136,789.718,266.182,1167.79,436.143,971.799,322.566
10,894.5,390.938,659.364,250.672,1058.85,402.468,838.252,306.531
11,816.024,367.936,632.104,206.762,925.089,394.289,785.415,268.348
12,742.788,344.772,575.496,221.338,922.896,365.025,797.557,268.55
13,766.612,298.824,577.802,179.178,953.951,341.266,745.017,254.849
14,719.14,301.948,511.558,194.58,927.671,341.137,685.291,251.395
15,672.804,257.64,436.646,169.73,884.683,305.341,571.096,233.952
16,610.296,278.028,449.25,146.022,783.747,329.006,611.808,212.05
17,608.196,253.528,416.396,172.674,760.58,293.661,537.149,237.095
18,550.18,229.776,401.33,172.074,714.881,280.221,510.375,229.343
19,571.472,207.784,396.256,148.576,764.416,257.309,551.311,231.409
20,508.454,190.042,344.85,129.494,658.72,235.974,485.76,190.698
21,476.22,204.022,342.984,121.964,631.135,247.054,499.22,174.999
22,503.016,194.78,307.224,133.292,635.33,242.736,414.092,189.084
23,506.876,192.54,333.026,117.18,670.316,245.426,482.57,168.367
24,472.672,179.02,323.446,126.902,632.426,235.558,454.494,186.573
25,449.358,144.696,287.486,131.198,587.178,192.878,403.976,183.264
26,446.45,156.85,253.014,117.676,609.68,209.938,391.693,173.25
27,446.774,159.918,259.134,113.558,560.333,219.207,361.285,171.592
