epsilon = 0.3
learning_rate = 0.1
discount_rate = 0.99
lambda = 0.5

T = 1
step,SARSA,Q_learning,double_Q_learning,QV_learning,std_SARSA,std_Q,std_double_Q,std_QV
0,1396.53,0,0,0,1723.57,0,0,0
1,2583.24,0,0,0,2161.19,0,0,0
2,2117.4,0,0,0,1961.23,0,0,0
3,1641.42,0,0,0,1700.86,0,0,0
4,1540.27,0,0,0,1569.1,0,0,0
5,1381.61,0,0,0,1346.45,0,0,0
6,1237.78,0,0,0,1287.11,0,0,0
7,1195.82,0,0,0,1241.64,0,0,0
8,1048.64,0,0,0,1158.26,0,0,0
9,958.35,0,0,0,1086.93,0,0,0
10,909.718,0,0,0,1095.96,0,0,0
11,906.022,0,0,0,1090.92,0,0,0
12,882.156,0,0,0,998.019,0,0,0
13,882.338,0,0,0,985.843,0,0,0
14,842.164,0,0,0,969.377,0,0,0
15,813.956,0,0,0,952.686,0,0,0
16,784.486,0,0,0,929.185,0,0,0
17,687.486,0,0,0,809.353,0,0,0
18,683.494,0,0,0,740.406,0,0,0
19,644.646,0,0,0,733.229,0,0,0
20,623.95,0,0,0,758.736,0,0,0
21,610.716,0,0,0,742.148,0,0,0
22,542.672,0,0,0,659.036,0,0,0
23,594.304,0,0,0,784.877,0,0,0
24,607.886,0,0,0,799.693,0,0,0
25,588.472,0,0,0,665.485,0,0,0
26,548.662,0,0,0,687.418,0,0,0
27,506.97,0,0,0,612.855,0,0,0
28,496.904,0,0,0,623.252,0,0,0
29,491.428,0,0,0,597.64,0,0,0
30,469.332,0,0,0,636.176,0,0,0
31,501.47,0,0,0,652.705,0,0,0
32,457.496,0,0,0,551.364,0,0,0
33,466.066,0,0,0,549.564,0,0,0
34,410.748,0,0,0,517.026,0,0,0
35,435.264,0,0,0,527.405,0,0,0
36,418.06,0,0,0,555.321,0,0,0
37,440.446,0,0,0,522.109,0,0,0
38,393.534,0,0,0,528.631,0,0,0
39,390.314,0,0,0,482.408,0,0,0
40,392.75,0,0,0,531.943,0,0,0
41,362.872,0,0,0,427.126,0,0,0
42,373.854,0,0,0,444.295,0,0,0
43,341.394,0,0,0,420.762,0,0,0
44,353.268,0,0,0,425.873,0,0,0
45,349.726,0,0,0,423.468,0,0,0
46,337.514,0,0,0,422.751,0,0,0
47,363.048,0,0,0,451.402,0,0,0
48,328.192,0,0,0,438.658,0,0,0
49,327.158,0,0,0,472.402,0,0,0
50,313.892,0,0,0,411.07,0,0,0
51,301.112,0,0,0,394.731,0,0,0
52,316.2,0,0,0,391.017,0,0,0
53,315.798,0,0,0,387.01,0,0,0
54,292.344,0,0,0,388.705,0,0,0
55,314.904,0,0,0,436.155,0,0,0
56,271.536,0,0,0,398.043,0,0,0
57,300.946,0,0,0,383.106,0,0,0
58,259.78,0,0,0,316.927,0,0,0
59,302.804,0,0,0,386.91,0,0,0
60,280.1,0,0,0,365.063,0,0,0
61,252.124,0,0,0,329.786,0,0,0
62,274.736,0,0,0,396.434,0,0,0
63,230.548,0,0,0,305.777,0,0,0
64,239.43,0,0,0,342.691,0,0,0
65,252.524,0,0,0,341.268,0,0,0
66,221.372,0,0,0,299.208,0,0,0
67,221.282,0,0,0,294.396,0,0,0
68,257.8,0,0,0,367.874,0,0,0
69,239.794,0,0,0,338.343,0,0,0
70,195.878,0,0,0,248.85,0,0,0
71,228.886,0,0,0,292.424,0,0,0
72,214.586,0,0,0,272.069,0,0,0
73,221.924,0,0,0,292.311,0,0,0
74,220.43,0,0,0,295.295,0,0,0
75,237.314,0,0,0,306.849,0,0,0
76,212.78,0,0,0,297.092,0,0,0
77,228.342,0,0,0,328.899,0,0,0
78,207.37,0,0,0,296.107,0,0,0
79,231.436,0,0,0,322.674,0,0,0
80,204.046,0,0,0,266.034,0,0,0
81,227.382,0,0,0,326.176,0,0,0
82,199.074,0,0,0,279.879,0,0,0
83,214.144,0,0,0,286.98,0,0,0
84,217.03,0,0,0,288.127,0,0,0
85,203.166,0,0,0,276.117,0,0,0
86,221.218,0,0,0,279.96,0,0,0
87,195.412,0,0,0,256.403,0,0,0
88,196.742,0,0,0,260.608,0,0,0
89,188.818,0,0,0,266.274,0,0,0
90,186.142,0,0,0,271.41,0,0,0
91,195.902,0,0,0,284.397,0,0,0
92,189.892,0,0,0,241.181,0,0,0
93,213.818,0,0,0,313.57,0,0,0
94,185.2,0,0,0,257.948,0,0,0
95,186.412,0,0,0,251.127,0,0,0
96,178.112,0,0,0,230.815,0,0,0
97,190.402,0,0,0,254.871,0,0,0
98,199.836,0,0,0,298.714,0,0,0
99,167.288,0,0,0,244.528,0,0,0
100,181.52,0,0,0,236.33,0,0,0
101,192.286,0,0,0,275.398,0,0,0
102,176.754,0,0,0,232.688,0,0,0
103,164.008,0,0,0,225.539,0,0,0
104,162.762,0,0,0,221.456,0,0,0
105,189.984,0,0,0,255.54,0,0,0
106,180.078,0,0,0,235.419,0,0,0
107,190,0,0,0,277.912,0,0,0
108,180.06,0,0,0,236.574,0,0,0
109,176.886,0,0,0,238.835,0,0,0
110,171.018,0,0,0,228.467,0,0,0
111,179.128,0,0,0,238.903,0,0,0
112,155.116,0,0,0,216.209,0,0,0
113,183.708,0,0,0,243.822,0,0,0
114,162.498,0,0,0,244.65,0,0,0
115,171.08,0,0,0,226.95,0,0,0
116,162.608,0,0,0,223.544,0,0,0
117,170.65,0,0,0,248.583,0,0,0
118,154.04,0,0,0,204.105,0,0,0
119,171.358,0,0,0,254.539,0,0,0
120,163.758,0,0,0,239.228,0,0,0
121,145.428,0,0,0,195.606,0,0,0
122,158.176,0,0,0,210.151,0,0,0
123,152.796,0,0,0,192.639,0,0,0
124,180.654,0,0,0,244.818,0,0,0
125,164.8,0,0,0,235.118,0,0,0
126,168.86,0,0,0,213.583,0,0,0
127,169.408,0,0,0,233.208,0,0,0
128,160.672,0,0,0,246.723,0,0,0
129,154.24,0,0,0,199.178,0,0,0
130,168.348,0,0,0,246.218,0,0,0
131,185.718,0,0,0,255.257,0,0,0
132,152.88,0,0,0,212.04,0,0,0
133,139.596,0,0,0,221.055,0,0,0
134,152.772,0,0,0,210.495,0,0,0
135,135.976,0,0,0,181.354,0,0,0
136,161.57,0,0,0,230.942,0,0,0
137,149.152,0,0,0,201.483,0,0,0
138,143.902,0,0,0,203.01,0,0,0
139,148.89,0,0,0,202.057,0,0,0
140,148.582,0,0,0,211.323,0,0,0
141,157.676,0,0,0,221.942,0,0,0
142,149.73,0,0,0,194.523,0,0,0
143,135.182,0,0,0,179.795,0,0,0
144,141.974,0,0,0,191.475,0,0,0
145,135.432,0,0,0,173.835,0,0,0
146,163.18,0,0,0,242.243,0,0,0
147,161.986,0,0,0,238.419,0,0,0
148,139.476,0,0,0,204.879,0,0,0
149,141.84,0,0,0,193.205,0,0,0
150,143.584,0,0,0,183.594,0,0,0
151,141.986,0,0,0,188.912,0,0,0
152,143.016,0,0,0,192.434,0,0,0
153,131.738,0,0,0,177.407,0,0,0
154,147.278,0,0,0,184.658,0,0,0
155,139.468,0,0,0,178.94,0,0,0
156,131.566,0,0,0,162.706,0,0,0
157,136.972,0,0,0,190.581,0,0,0
158,133.998,0,0,0,211.508,0,0,0
159,136.83,0,0,0,184.11,0,0,0
160,137.138,0,0,0,189.276,0,0,0
161,146.148,0,0,0,195.626,0,0,0
162,142.11,0,0,0,175.535,0,0,0
163,123.578,0,0,0,149.149,0,0,0
164,133.634,0,0,0,170.298,0,0,0
165,134.774,0,0,0,180.09,0,0,0
166,140.014,0,0,0,180.119,0,0,0
167,140.168,0,0,0,173.142,0,0,0
168,121.922,0,0,0,155.118,0,0,0
