step,SARSA,Q_learning,double_Q_learning,QV_learning
0,975561,975561,754303,4707833
1,1287483,1287483,1513838,3426958
2,6630376,6630376,4476261,290
3,2990263,2990263,865056,245
4,37,37,150287,153
5,2680567,2680567,429011,240
6,641771,641771,1773716,51
7,533466,533466,1037982,79
8,19469,19469,1476792,40
9,799275,799275,22,14
10,221087,221087,2834400,53
11,658294,658294,3288981,36
12,10908,10908,75600,24
13,1050,1050,456997,9
14,935,935,567904,11
15,394,394,8,58
16,165,165,5,64
17,62,62,127977,32
18,529,529,388071,11
19,583,583,43101,10
20,273,273,518627,31
21,17,17,150896,33
22,314,314,368175,55
23,539,539,16,22
24,30,30,68193,119
25,29,29,261865,80
26,49,49,37814,36
27,36,36,349515,61
28,61,61,85881,12
29,42,42,6224,37
30,163,163,53451,61
31,29,29,231,19
32,31,31,16179,33
33,163,163,11,21
34,24,24,8703,28
35,63,63,50104,30
36,47,47,12,59
37,25,25,105,59
38,21,21,8559,4
39,52,52,37,55
40,112,112,21,45
41,52,52,766,19
42,36,36,10705,52
43,24,24,422,7
44,43,43,23,107
45,53,53,5074,27
46,4,4,6303,6
47,21,21,7681,76
48,32,32,1513,32
49,23,23,1456,43
50,18,18,12,76
51,51,51,2831,34
52,79,79,269,14
53,57,57,2368,76
54,17,17,5864,32
55,6,6,3074,37
56,41,41,13,29
57,53,53,18,31
58,12,12,3410,18
59,8,8,672,10
60,47,47,4177,19
61,11,11,6,18
62,27,27,5,8
63,54,54,11,49
64,29,29,482,16
65,8,8,33,36
66,6,6,25,6
67,67,67,9,63
68,48,48,1817,27
69,78,78,24,22
70,52,52,71,31
71,47,47,190,9
72,12,12,129,13
73,13,13,97,42
74,37,37,13,17
75,8,8,35,17
76,53,53,114,63
77,34,34,237,41
78,44,44,38,33
79,35,35,70,60
80,10,10,45,44
81,33,33,108,20
82,33,33,15,51
83,30,30,571,35
84,46,46,14,34
85,13,13,81,47
86,42,42,47,34
87,36,36,9,16
88,51,51,18,43
89,24,24,33,27
90,41,41,31,50
91,34,34,51,49
92,45,45,85,15
93,14,14,49,7
94,35,35,38,20
95,19,19,25,6
96,62,62,44,44
97,63,63,6,16
98,53,53,39,24
99,42,42,58,7
100,16,16,16,49
101,33,33,30,45
102,15,15,24,13
103,46,46,26,62
104,51,51,33,31
105,42,42,96,21
106,23,23,170,22
107,13,13,10,17
108,41,41,15,18
109,37,37,52,46
110,44,44,45,13
111,30,30,90,15
112,42,42,95,42
113,37,37,12,6
114,51,51,49,13
115,57,57,46,7
116,23,23,94,51
117,29,29,19,18
118,32,32,14,20
119,33,33,51,17
120,50,50,16,25
121,29,29,49,54
122,40,40,187,13
123,15,15,73,31
124,49,49,8,27
125,55,55,12,67
126,52,52,43,28
127,43,43,35,8
128,16,16,66,36
129,29,29,45,8
130,9,9,115,45
131,37,37,10,39
132,50,50,41,25
133,31,31,12,27
134,23,23,5,9
135,55,55,37,34
136,42,42,6,21
137,42,42,32,24
138,14,14,9,11
139,45,45,12,16
140,14,14,37,19
141,24,24,44,19
142,36,36,10,18
143,37,37,55,54
144,29,29,9,13
145,30,30,42,60
146,47,47,10,7
147,7,7,34,23
148,29,29,38,10
149,43,43,54,6
150,35,35,39,11
151,20,20,8,22
152,40,40,30,30
153,37,37,9,40
154,49,49,86,12
155,44,44,44,51
156,28,28,56,43
157,44,44,43,10
158,8,8,28,32
159,36,36,36,32
160,22,22,53,53
161,41,41,7,31
162,4,4,25,11
163,53,53,51,90
164,49,49,57,44
165,25,25,10,42
166,23,23,44,35
167,39,39,54,17
168,45,45,53,8
169,37,37,29,19
170,6,6,4,48
171,55,55,19,33
172,11,11,69,28
173,18,18,57,13
174,32,32,58,17
175,6,6,38,8
176,18,18,10,46
177,42,42,25,7
178,30,30,16,6
179,22,22,48,19
180,28,28,48,19
181,46,46,87,5
182,22,22,14,30
183,6,6,12,33
184,32,32,45,7
185,44,44,8,15
186,45,45,35,7
187,37,37,38,15
188,54,54,21,12
189,29,29,17,6
190,8,8,6,53
191,6,6,6,42
192,8,8,47,15
193,7,7,22,27
194,50,50,35,36
195,6,6,67,19
196,38,38,23,13
197,49,49,6,56
198,30,30,20,25
199,48,48,5,31
200,69,69,39,26
201,45,45,28,48
202,19,19,17,23
203,22,22,32,39
204,33,33,27,16
205,54,54,47,14
206,38,38,9,32
207,34,34,18,19
208,42,42,16,15
209,47,47,41,33
210,37,37,46,37
211,14,14,40,34
212,10,10,65,5
213,8,8,33,38
214,38,38,5,24
215,18,18,17,58
216,33,33,45,15
217,47,47,35,13
218,5,5,27,15
219,24,24,6,26
220,19,19,36,20
221,20,20,24,6
222,24,24,20,8
223,33,33,7,20
224,30,30,40,53
225,25,25,19,22
226,37,37,35,50
227,29,29,6,31
228,35,35,9,21
229,46,46,27,9
230,11,11,63,39
231,41,41,67,24
232,16,16,12,17
233,10,10,11,42
234,90,90,25,47
235,43,43,36,32
236,49,49,41,9
237,40,40,16,28
238,16,16,70,58
239,8,8,51,41
240,65,65,53,44
241,40,40,49,31
242,24,24,46,11
243,34,34,36,10
244,35,35,28,26
245,48,48,11,43
246,51,51,49,54
247,45,45,11,50
248,13,13,52,26
249,59,59,27,16
250,11,11,47,28
251,36,36,12,24
252,45,45,32,37
253,55,55,37,44
254,55,55,11,35
255,53,53,8,44
256,52,52,35,37
257,42,42,12,9
258,11,11,45,33
259,6,6,29,23
260,28,28,39,42
261,47,47,42,14
262,41,41,8,44
263,49,49,25,37
264,22,22,52,44
265,7,7,28,40
266,6,6,91,11
267,38,38,14,30
268,7,7,39,41
269,30,30,14,41
270,22,22,51,9
271,52,52,28,22
272,25,25,62,40
273,43,43,7,33
274,38,38,42,34
275,70,70,33,34
276,67,67,63,4
277,45,45,51,33
278,22,22,40,15
279,52,52,55,15
280,7,7,45,32
281,40,40,19,8
282,6,6,57,13
283,27,27,6,26
284,47,47,37,9
285,44,44,21,65
286,31,31,60,20
287,12,12,19,68
288,52,52,46,20
289,78,78,31,41
290,29,29,25,31
291,28,28,35,28
292,34,34,59,13
293,13,13,15,5
294,39,39,17,44
295,30,30,7,14
296,56,56,22,11
297,28,28,40,21
298,42,42,4,24
299,59,59,40,12
300,9,9,13,22
301,35,35,42,56
302,33,33,40,23
303,75,75,13,16
304,16,16,53,75
305,80,80,16,40
306,19,19,13,51
307,61,61,51,71
308,29,29,36,24
309,54,54,40,15
310,45,45,64,16
311,56,56,28,28
312,4,4,10,19
313,59,59,59,20
314,8,8,12,17
315,45,45,22,20
316,40,40,28,4
317,30,30,51,18
318,56,56,36,32
319,25,25,70,9
320,36,36,55,38
321,26,26,21,4
322,65,65,41,13
323,60,60,31,17
324,33,33,31,49
325,26,26,45,10
326,40,40,47,37
327,6,6,40,19
328,17,17,65,5
329,10,10,18,35
330,29,29,8,8
331,43,43,44,22
332,46,46,57,22
333,23,23,40,14
334,55,55,7,34
335,59,59,35,39
336,46,46,47,65
337,17,17,43,53
338,47,47,22,8
339,5,5,55,16
340,8,8,10,7
341,6,6,18,8
342,43,43,34,6
343,52,52,27,4
344,29,29,17,9
345,30,30,58,37
346,42,42,30,21
347,56,56,39,61
348,35,35,11,52
349,15,15,39,21
350,11,11,29,28
351,43,43,13,24
352,46,46,36,31
353,35,35,28,40
354,36,36,8,37
355,23,23,12,34
356,45,45,71,14
357,51,51,41,34
358,23,23,29,22
359,60,60,5,23
360,55,55,47,30
361,25,25,58,19
362,9,9,6,36
363,34,34,44,27
364,7,7,34,32
365,5,5,16,43
366,42,42,8,8
367,34,34,21,38
368,64,64,8,22
369,21,21,20,100
370,33,33,22,32
371,32,32,32,44
372,46,46,67,19
373,39,39,5,15
374,36,36,32,60
375,10,10,53,53
376,27,27,5,14
377,40,40,50,41
378,6,6,17,42
379,37,37,19,98
