step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSARSA,stdQ,stddoubleQ,stdQV
0,-1130.6,-56.264,-215.646,-74.24320,4934.61,126.536,435.343,94.3565
1,-1259.29,-264.374,-440.639,-148.1241,3916.5,156.163,516.857,103.892
2,-519.97,-240.186,-264.52,-72.02442,1802,113.532,399.132,85.2811
3,-378.921,-96.4232,-207.088,-15.9343,1732.38,116.108,370.481,80.1903
4,-151.888,-54.9772,-136.157,10.03644,597.766,91.6376,278.825,69.3074
5,-281.832,-39.5388,-122.41,31.92165,2537.88,87.645,270.538,61.216
6,-175.504,-10.7952,-82.3744,37.52846,940.203,76.4105,249.151,59.8436
7,-200.197,9.9604,-73.5512,49.77327,1078.06,70.5113,231.938,52.7593
8,-166.19,11.928,-46.9172,55.35448,948.36,67.9324,188.412,47.9294
9,-214.616,22.8052,-25.9076,58.12129,2222.64,61.6979,163.699,42.9888
10,-159.716,26.1272,-12.6852,60.257210,1484.44,63.3755,165.747,44.7447
11,-132.959,39.4572,-5.9348,64.376411,1217.82,56.4385,139.128,42.6591
12,-123.061,42.1212,5.7328,67.879212,1139.95,56.0761,137.761,39.9177
13,-174.372,45.174,4.2132,69.615613,1409.72,52.796,139.156,37.7168
14,-109.137,48.9384,18.5024,73.287614,1160.18,52.9194,113.688,35.9893
15,-128.296,52.3108,16.6672,74.801615,1356.35,51.3934,122.146,33.7716
16,-30.6776,52.8952,22.9364,74.16416,542.77,46.8019,119.029,34.5555
17,-127.02,57.0964,26.994,74.220417,1189.09,44.7145,110.054,34.2476
18,-162.41,64.0724,32.4004,77.025618,1489.09,41.1417,110.655,31.1893
19,-86.5832,64.1688,34.8972,78.827219,938.659,40.451,105.133,29.911
20,-100.082,61.6976,43.6544,77.432420,751.703,43.0236,93.1878,32.0647
21,-61.0104,65.036,39.344,79.731221,1038.09,38.1106,91.8661,29.5222
22,-103.387,62.6188,38.3708,80.303622,1059.59,41.0454,95.8034,28.4577
23,-84.7482,69.6856,43.9904,81.47623,855.077,36.4256,81.253,26.277
24,-11.8102,69.3812,50.268,82.062424,319.601,36.5448,74.5156,26.0228
25,-3.9982,69.2548,45.4208,82.056825,277.04,35.4594,90.2937,26.5073
26,2.5482,69.2428,56.8664,82.076826,277.218,35.2804,70.0015,27.6418
27,-36.4042,71.2248,58.1716,81.341227,700.55,35.2591,69.7697,27.7597
28,-123.77,69.588,45.2396,84.06828,1761.95,36.3722,84.59,24.5656
29,-58.495,73.9832,57.032,83.748829,1341.72,32.9108,70.2018,25.0812
30,-15.295,76.388,53.6136,83.863630,383.293,31.0767,74.9672,23.7494
31,-2.373,74.3776,58.6072,85.706831,374.009,32.283,71.3004,23.0125
32,-8.1572,74.4928,52.5524,85.797232,388.439,32.0464,77.9607,22.458
