step,SARSA,Q_learning,double_Q_learning,QV_learning
0,-2076.52,-45.374,-260.238,-79.001
0,0,0,0,0
1,-2584.12,-327.871,-517.389,-204.734
1,0,0,0,0
2,-2134.48,-312.257,-346.722,-131.077
2,0,0,0,0
3,-1409.95,-154.27,-247.639,-56.11
3,0,0,0,0
4,-578.148,-141.739,-212.202,-19.091
4,0,0,0,0
5,-1787.49,-105.69,-174.383,-0.492
5,0,0,0,0
6,-464.212,-50.803,-162.499,13.913
6,0,0,0,0
7,-3192.03,-36.952,-130.356,24.215
7,0,0,0,0
8,-460.259,-51.052,-97.068,45.28
8,0,0,0,0
9,-698.968,-35.214,-92.997,40.08
9,0,0,0,0
10,-1262.08,-18.156,-66.237,48.401
10,0,0,0,0
11,-394.346,-8.701,-74.946,55.934
11,0,0,0,0
12,-560.146,6.581,-57.979,58.269
12,0,0,0,0
13,-171.408,7.38,-52.477,50.29
13,0,0,0,0
14,-63.082,17.307,-19.223,58.594
14,0,0,0,0
15,-172.645,15.173,-39.89,62.949
15,0,0,0,0
16,-145.897,27.977,-0.105,63.946
16,0,0,0,0
17,-157.635,24.736,8.749,62.985
17,0,0,0,0
18,-222.302,29.218,5.827,62.426
18,0,0,0,0
19,-310.328,31.013,-8.908,68.719
19,0,0,0,0
20,-123.475,41.498,12.905,68.121
20,0,0,0,0
21,-322.757,39.569,12.812,65.674
21,0,0,0,0
22,-404.829,42.708,4.622,66.979
22,0,0,0,0
23,-174.123,41.27,15.923,75.82
23,0,0,0,0
24,-28.2415,45.497,14.577,69.525
24,0,0,0,0
25,-70.547,46.1,-12.619,71.834
25,0,0,0,0
26,-48.8925,50.381,25.773,74.013
26,0,0,0,0
27,-102.429,48.248,25.141,76.63
27,0,0,0,0
28,-129.763,53.669,11.32,72.35
28,0,0,0,0
29,-80.5195,54.287,27.89,72.919
29,0,0,0,0
30,-69.962,63.854,18.56,75.785
30,0,0,0,0
31,-179.706,58.184,20.466,78.988
31,0,0,0,0
32,-47.292,59.257,38.091,79.71
32,0,0,0,0
33,-108.284,63.026,47.462,78.995
33,0,0,0,0
34,-21.9245,60.32,26.003,77.617
34,0,0,0,0
35,-29.0465,62.921,38.821,78.668
35,0,0,0,0
36,-73.968,61.119,38.753,80.183
36,0,0,0,0
37,-304.24,64.925,36.668,77.59
37,0,0,0,0
38,-1187.24,65.859,43.766,78.742
38,0,0,0,0
39,-463.286,66.981,39.755,79.143
39,0,0,0,0
40,-366.208,67.483,51.121,80.119
40,0,0,0,0
41,-26.644,66.612,27.586,83.115
41,0,0,0,0
42,-51.907,67.094,39.405,82.003
42,0,0,0,0
43,-148.751,69.601,50.759,81.146
43,0,0,0,0
44,-156.355,71.03,40.123,81.642
44,0,0,0,0
45,-42.2035,66.664,48.966,84.947
45,0,0,0,0
46,-4.0245,71.217,54.801,82.429
46,0,0,0,0
47,-72.271,73.914,51.338,84.828
47,0,0,0,0
48,25.426,70.399,58.675,86.281
48,0,0,0,0
49,5.6225,67.722,48.696,83.341
49,0,0,0,0
50,-109.453,73.976,47.636,86.09
50,0,0,0,0
51,-17.2475,73.756,54.588,85.244
51,0,0,0,0
52,-27.381,76.201,60.836,87.357
52,0,0,0,0
53,28.521,73.002,64.314,85.937
53,0,0,0,0
54,-32.631,75.759,65.038,86.409
54,0,0,0,0
55,-186.992,78.389,58.776,86.802
55,0,0,0,0
56,26.2655,73.556,52.795,87.541
56,0,0,0,0
57,-57.3725,74.711,60.445,86.755
57,0,0,0,0
58,13.6245,78.064,59.491,86.005
58,0,0,0,0
59,-84.727,73.29,61.228,85.917
59,0,0,0,0
60,7.1615,70.576,59.438,87.825
60,0,0,0,0
61,-18.696,72.731,57.912,89.827
61,0,0,0,0
62,-95.3455,76.71,49.932,88.05
62,0,0,0,0
63,11.1525,75.647,63.734,88.08
63,0,0,0,0
64,-30.1105,78.288,52.84,89.132
