step,SARSA,Q_learning,double_Q_learning,QV_learning
0,-1940.31,-65.303,-235.231,-73.9085
0,0,0,0,0
1,-1849.22,-317.584,-454.827,-201.671
1,0,0,0,0
2,-1339.36,-337.702,-306.928,-124.886
2,0,0,0,0
3,-654.084,-154,-271.846,-58.576
3,0,0,0,0
4,-443.279,-122.359,-216.157,-18.3985
4,0,0,0,0
5,-412.265,-118.441,-179.752,6.25
5,0,0,0,0
6,-574.858,-55.2755,-142.314,11.268
6,0,0,0,0
7,-505.506,-42.628,-123.217,27.329
7,0,0,0,0
8,-702.289,-45.1955,-95.687,39.7045
8,0,0,0,0
9,-324.123,-24.274,-71.8985,41.6665
9,0,0,0,0
10,-292.993,-16.828,-63.31,52.841
10,0,0,0,0
11,-377.259,0.1375,-76.3545,53.1785
11,0,0,0,0
12,-291.785,9.871,-50.225,53.707
12,0,0,0,0
13,-272.847,10.496,-36.593,58.562
13,0,0,0,0
14,-270.036,6.9725,-38.9795,58.387
14,0,0,0,0
15,-574.261,17.149,-36.5285,64.4625
15,0,0,0,0
16,-1076.5,20.925,-17.1815,61.4955
16,0,0,0,0
17,-680.174,24.808,-9.9295,62.2245
17,0,0,0,0
18,-1240.11,35.7655,-4.359,64.0275
18,0,0,0,0
19,-449.087,35.7645,-6.115,67.2995
19,0,0,0,0
20,-328.002,41.3295,0.2285,66.9085
20,0,0,0,0
21,-296.606,39.919,12.26,67.108
21,0,0,0,0
22,-404.883,42.8085,13.5755,71.402
22,0,0,0,0
23,-190.719,41.4735,21.2915,70.1095
23,0,0,0,0
24,-320.436,49.6955,16.3335,71.0685
24,0,0,0,0
25,-123.213,49.409,22.6235,71.8125
25,0,0,0,0
26,-83.7883,46.1715,12.975,70.4825
26,0,0,0,0
27,-167.586,47.4375,17.6975,73.572
27,0,0,0,0
28,-1117.03,53.08,22.2555,72.5185
28,0,0,0,0
29,-336.787,52.1385,23.119,76.4565
29,0,0,0,0
30,-299.976,57.5055,29.739,76.268
30,0,0,0,0
31,-189.648,56.893,36.3595,74.2805
31,0,0,0,0
32,-156.918,61.93,40.064,81.2945
32,0,0,0,0
33,-278.67,58.4705,33.176,75.6025
33,0,0,0,0
34,-356.185,63.8065,44.3905,82.0895
34,0,0,0,0
35,-167.989,64.0765,36.594,77.9635
35,0,0,0,0
36,-79.21,66.0625,40.8475,80.5935
36,0,0,0,0
37,-17.7052,62.384,39.797,80.514
37,0,0,0,0
38,-123.746,67.169,41.324,80.011
38,0,0,0,0
39,-126.259,64.985,39.5035,78.793
39,0,0,0,0
40,-139.654,66.9655,41.1005,80.9565
40,0,0,0,0
41,-91.75,66.2655,44.688,80.9995
41,0,0,0,0
42,-83.5035,66.9525,47.4775,81.7125
42,0,0,0,0
43,-95.7033,69.988,42.867,82.5495
43,0,0,0,0
44,-83.5195,69.4875,43.832,82.779
44,0,0,0,0
45,-57.1935,68.3925,53.241,83.707
45,0,0,0,0
46,-52.6917,69.408,53.2325,82.7375
46,0,0,0,0
47,-31.0715,72.642,47.6635,86.279
47,0,0,0,0
48,-67.012,71.4595,55.5965,83.847
48,0,0,0,0
49,-104.197,72.2645,49.496,82.9045
49,0,0,0,0
50,-102.162,71.601,61.144,85.447
50,0,0,0,0
51,-260.277,71.436,54.6375,83.1375
51,0,0,0,0
52,-48.7895,74.6735,57.883,85.7225
52,0,0,0,0
