step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSarsa,stdQ,stddoubleQ,stdQV
0,-64.437,-91.6388,-187.881,-93.88640,194.665,200.73,401.952,171.842
1,-192.169,-343.848,-363.656,-218.1171,230.541,238.163,439.058,193.62
2,-117.647,-205.58,-319.868,-114.4852,210.117,206.462,439.909,155.575
3,-58.3126,-106.586,-195.968,-34.56363,165.795,150.049,328.526,118.914
4,-38.364,-73.3632,-155.397,-8.05364,152.061,135.612,269.375,97.1477
5,-28.8086,-51.4872,-131.879,11.24965,139.963,118.804,281.424,87.0668
6,-13.9562,-23.4064,-134.443,28.60126,123.136,108.616,278.496,74.2882
7,-3.9716,-11.0136,-80.3612,36.3447,130.71,100.567,211.19,73.639
8,9.1146,10.5112,-70.6892,45.47568,108.03,89.0103,201.826,64.2533
9,4.4996,9.3728,-57.5436,47.16369,116.779,87.2286,194.36,64.5133
10,10.75,22.2124,-31.4728,50.265610,105.885,80.4936,167.65,61.3062
11,18.5976,26.8128,-26.0208,59.047611,92.5089,78.8577,157.083,53.6696
12,25.9212,31.4456,-14.6992,56.132412,92.2896,73.0051,159.511,53.7101
13,23.5388,40.6352,-15.1604,64.564413,95.3951,68.2532,149.003,50.9698
14,28.286,40.0104,-1.9116,61.48414,92.7671,68.2273,137.058,50.279
15,32.9196,48.872,13.0708,66.45415,88.4683,61.0682,114.219,46.7905
16,39.1704,44.7944,10.55,71.195616,78.3747,65.8013,122.362,42.41
17,39.3804,49.6944,17.1208,65.865217,76.058,58.7322,107.43,47.419
18,45.182,54.4448,20.134,65.985218,71.4881,56.0441,102.075,45.8687
19,43.0528,58.8432,21.1488,70.684819,76.4416,51.4617,110.262,46.2818
20,49.3546,62.3916,31.43,74.501220,65.872,47.1948,97.152,38.1396
21,52.578,59.5956,31.8032,76.007221,63.1135,49.4107,99.844,34.9997
22,49.8984,61.444,38.9552,73.741622,63.533,48.5472,82.8184,37.8169
23,49.5124,61.892,33.7948,76.96423,67.0316,49.0852,96.514,33.6733
24,52.9328,64.596,35.7108,75.019624,63.2426,47.1116,90.8988,37.3145
25,55.2642,71.4608,42.9028,74.160425,58.7178,38.5756,80.7952,36.6529
26,55.555,69.03,49.7972,76.864826,60.968,41.9876,78.3387,34.65
27,55.5226,68.4164,48.5732,77.688427,56.0333,43.8414,72.257,34.3185
28,56.4304,68.192,47.2056,78.860828,62.2838,41.7657,73.0744,31.3943
29,60.5784,66.5992,49.8136,81.090429,59.9007,43.8331,74.4874,31.025
30,58.738,70.9272,49.894,79.495230,58.3845,39.6751,75.4976,32.6823
31,61.0168,74.0804,48.006,79.755231,50.1962,33.974,75.3563,32.9729
32,65.4734,70.998,49.9852,82.631232,47.0897,39.1683,73.8186,27.8935
33,60.0904,74.4912,53.6444,82.307233,57.9189,35.5227,73.9064,27.527
34,66.7932,71.5956,57.6584,82.659634,44.0607,39.8951,59.9957,28.6063
35,60.2552,73.8904,58.632,81.548835,50.9129,39.1412,62.1609,30.9849
36,66.8018,74.1992,57.4088,81.685236,46.9359,36.6105,68.7883,30.1998
37,64.181,75.5068,56.7324,81.540437,47.7575,34.3336,62.9233,28.7425
38,67.3658,75.2704,65.7624,82.11838,46.481,35.7437,52.4855,27.0496
39,67.832,78.0044,64.9024,84.057239,45.3315,33.1259,56.9507,24.9497
40,67.4986,75.67,61.7292,82.748840,47.1126,31.5866,68.2314,28.6633
41,66.759,75.4472,60.332,85.104841,45.3947,36.587,70.6673,24.5367
42,70.7764,78.9392,62.0584,86.428842,42.5491,32.1261,68.6063,21.7402
43,70.518,75.6872,62.974,85.225243,40.8641,32.3919,60.4429,24.3838
44,69.9158,76.0864,63.5876,84.12644,42.3326,32.5615,59.8703,25.377
45,73.1738,76.982,67.3812,85.405245,42.2833,33.7581,51.7002,24.1906
46,73.8172,76.7508,61.2172,86.339646,42.392,33.5297,58.4517,23.1928
47,71.782,78.7576,65.518,85.18647,40.9772,30.2607,56.0136,23.8084
48,72.7784,75.2716,67.2572,84.892848,39.4174,35.2245,52.3012,23.9888
49,73.174,78.2392,67.574,84.968849,38.2994,31.7161,53.4546,24.7756
50,73.0056,79.4456,63.55,87.338850,41.5468,29.0531,60.2858,19.6412
51,73.0746,79.388,69.0476,85.599251,44.4934,32.4546,50.8852,23.5551
52,75.5026,78.9648,66.3524,89.115252,32.4032,30.6052,55.3329,16.7214
