Run   sarsa   q_learning   double_q_learning   qv_learning
0   5759   5820   28   6138
1   5667   5449   28   5870
2   6432   4538   28   6043
3   4497   4724   27   5332
4   4723   4226   29   4930
5   4495   3004   27   2955
6   1472   1119   28   1250
7   746   553   27   586
8   425   373   27   342
9   309   219   27   183
10   105   68   27   63
11   45   38   28   37
12   47   34   27   34
13   42   33   29   32
14   43   27   28   28
15   45   28   29   27
16   51   27   27   29
17   44   28   29   28
18   46   29   28   30
19   44   28   27   29
20   46   27   27   29
21   41   28   29   28
22   46   28   27   28
23   45   27   27   29
24   47   28   28   29
25   44   28   29   29
26   45   28   28   28
27   44   29   26   29
28   44   28   29   32
29   43   27   27   31
30   46   28   28   30
31   43   28   27   32
32   47   28   27   31
33   44   27   29   31
34   42   27   28   32
35   40   28   27   31
36   42   29   28   31
37   45   27   28   30
38   43   27   27   32
39   41   28   27   31
40   44   27   27   30
41   44   29   28   30
42   41   27   28   31
43   39   27   27   30
44   38   28   28   32
45   42   27   29   31
46   44   27   27   31
47   42   27   27   31
48   44   27   28   32
49   43   28   28   31
50   45   27   28   30
51   42   29   29   30
52   42   26   27   33
53   43   29   27   32
54   44   28   28   31
55   43   28   27   32
56   43   28   28   30
57   42   28   28   31
58   43   28   27   32
59   45   29   28   31
60   43   28   27   32
61   41   27   27   30
62   42   28   29   31
63   40   28   29   30
64   39   28   27   30
65   42   27   27   29
66   42   28   28   30
67   40   27   26   31
68   40   28   27   30
69   42   28   27   30
70   46   28   28   31
71   43   28   28   32
72   42   28   28   30
73   42   28   29   32
74   43   28   27   31
75   40   28   27   31
76   42   28   28   30
77   41   27   27   30
78   40   29   28   32
79   38   27   28   32
80   41   28   27   30
81   42   28   27   31
82   39   28   27   31
83   41   28   28   29
84   43   28   28   32
85   43   28   29   31
86   42   27   28   32
87   40   27   27   32
88   43   27   28   31
89   44   27   27   30
90   43   28   27   30
91   37   28   29   30
92   37   28   28   31
93   42   27   28   30
94   41   28   27   31
95   40   28   26   30
96   38   27   27   30
97   39   27   27   30
98   38   29   28   31
99   40   27   28   30
100   40   27   28   32
101   39   27   28   31
102   36   27   27   32
103   39   27   27   30
104   38   28   27   32
105   41   28   28   31
106   39   28   27   31
107   40   27   27   31
108   38   29   27   30
109   40   27   27   31
110   40   26   28   31
111   37   27   27   30
112   40   28   28   29
113   44   27   27   29
114   42   28   27   29
115   39   28   27   30
116   38   27   27   30
117   39   27   28   30
118   39   29   27   30
119   41   27   27   30
120   39   28   28   28
121   39   28   28   31
122   40   27   28   30
123   42   27   28   31
124   40   26   27   32
125   39   27   27   30
126   37   27   29   30
127   40   28   27   30
128   40   27   28   31
129   42   27   26   30
130   41   26   27   29
131   42   26   28   30
132   36   27   27   31
133   37   28   28   31
134   37   27   27   30
135   39   28   28   31
136   37   28   27   29
137   40   28   27   30
138   40   27   29   32
139   39   28   27   31
140   40   28   28   30
141   40   28   28   32
142   40   28   27   30
143   37   27   27   29
144   37   27   28   30
145   38   28   28   30
146   38   27   28   31
147   39   28   27   31
148   39   27   27   32
149   41   28   28   30
150   38   28   28   30
151   40   27   27   30
152   36   27   28   30
153   42   28   27   31
154   42   28   27   30
155   38   28   28   30
156   38   28   28   30
157   39   27   27   29
158   40   28   28   29
159   40   28   27   30
160   37   27   29   30
161   37   28   27   31
162   37   27   28   30
163   36   29   28   30
164   37   27   27   29
165   39   27   27   30
166   39   27   27   31
167   40   27   29   30
168   42   27   27   31
169   36   27   27   30
170   41   27   28   31
171   39   27   27   31
172   35   26   27   29
173   41   28   27   29
174   37   27   28   30
175   39   27   28   31
176   38   28   27   31
177   39   28   28   30
178   36   27   28   31
179   40   27   28   30
180   37   28   28   31
181   38   28   28   31
182   40   27   27   31
183   39   28   28   29
184   40   27   26   29
185   37   27   29   32
186   39   28   28   31
187   39   27   28   31
188   39   27   28   31
189   38   28   27   31
190   39   27   27   30
191   39   27   27   31
192   36   28   27   31
193   38   28   29   29
194   40   27   27   31
195   40   29   29   30
196   39   27   28   29
197   45   27   29   31
198   38   27   29   30
199   39   27   26   32
