Run   sarsa   q_learning   double_q_learning   qv_learning
0   75   74   6   78
1   75   77   6   79
2   58   64   6   59
3   47   49   6   40
4   51   45   6   45
5   28   19   6   15
6   9   7   6   7
7   7   6   6   6
8   6   6   6   6
9   6   6   6   6
10   6   6   6   6
11   6   6   6   6
12   7   6   6   6
13   7   6   6   8
14   7   6   6   8
15   9   6   6   7
16   9   6   6   8
17   8   6   6   7
18   7   6   6   7
19   6   6   6   7
20   7   6   6   8
21   7   6   6   7
22   7   6   6   8
23   7   6   6   7
24   8   6   6   7
25   9   6   6   6
26   7   6   6   7
27   12   6   6   8
28   10   6   6   7
29   12   6   6   9
30   10   6   6   6
31   9   6   6   8
32   12   6   6   7
33   8   6   6   7
34   8   6   6   7
35   8   6   6   8
36   9   6   6   9
37   10   6   6   7
38   12   6   6   7
39   9   6   6   6
40   12   6   6   9
41   10   6   6   6
42   13   6   6   8
43   10   6   6   7
44   9   6   6   8
45   11   6   6   8
46   12   6   6   7
47   11   6   6   8
48   12   6   6   10
49   17   6   6   7
50   10   6   6   9
51   9   6   6   7
52   9   6   6   7
53   11   6   6   7
54   13   6   6   8
55   10   6   6   8
56   13   6   6   7
57   12   6   6   8
58   17   6   6   8
59   20   6   6   7
60   11   6   6   8
61   11   6   6   7
62   13   6   6   7
63   11   6   6   7
64   12   6   6   7
65   12   6   6   7
66   16   6   6   7
67   16   6   6   7
68   11   6   6   7
69   12   6   6   7
70   12   6   6   7
71   12   6   6   8
72   14   6   6   7
73   12   6   6   7
74   13   6   6   7
75   14   6   6   6
76   12   6   6   8
77   13   6   6   7
78   10   6   6   8
79   8   6   6   7
80   13   6   6   7
81   11   6   6   7
82   11   6   6   7
83   13   6   6   6
84   13   6   6   6
85   12   6   6   7
86   19   6   6   7
87   13   6   6   7
88   15   6   6   6
89   14   6   6   7
90   16   6   6   6
91   12   6   6   7
92   15   6   6   7
93   10   6   6   6
94   13   6   6   7
95   13   6   6   6
96   14   6   6   6
97   22   6   6   7
98   13   6   6   7
99   14   6   6   7
